portrait,selectable,recrutable,rencontre,creatures,tailles,ressource_l,fichier_l,largeur_px_l,hauteur_px_l,mode_l,octets_l,bif_source_l,sha256_l,ressource_m,fichier_m,largeur_px_m,hauteur_px_m,mode_m,octets_m,bif_source_m,sha256_m,ressource_s,fichier_s,largeur_px_s,hauteur_px_s,mode_s,octets_s,bif_source_s,sha256_s
BDTMD,yes,no,no,0,LMS,BDTMDL,grands/BDTMD_L.bmp,210,330,RGB,208616,data/BDTP_DLC.BIF,d02a52f9a93ebed36cfdb297d845083b50ab950e9c2a4c4722e4d22469a4d9f1,BDTMDM,moyens/BDTMD_M.bmp,169,266,RGB,135184,data/BDTP_DLC.BIF,795cd6eef4a9b23bffc0f64dba85e45a651bb588e251cea040a8f1087242b5c0,BDTMDS,petits/BDTMD_S.bmp,54,84,RGB,13832,data/BDTP_DLC.BIF,b03ec9716f33e69c92089848d0a66f9081867ec362f675c2618c085aa3a58939
BDTME,yes,no,no,0,LMS,BDTMEL,grands/BDTME_L.bmp,210,330,RGB,208616,data/BDTP_DLC.BIF,0153546a1ea0a4c92b8c3b0b2a7adf3324b6c7b3b53479edba9d39842abb1b94,BDTMEM,moyens/BDTME_M.bmp,169,266,RGB,135184,data/BDTP_DLC.BIF,27c933a50c865ac8f536fb4e80523289948683041c218c64fbc6b57557e3c6e7,BDTMES,petits/BDTME_S.bmp,54,84,RGB,13832,data/BDTP_DLC.BIF,ff3dbb56a175ac6d25467aa812eacb98dbe4b7d1801f855a4d45da29eed822b2
BDTMF,yes,no,no,0,LMS,BDTMFL,grands/BDTMF_L.bmp,210,330,RGB,208616,data/BDTP_DLC.BIF,8b3e32ab59680e77402216b374a84d908cf50ab3fdd2c5ae5440ccf05e280ad1,BDTMFM,moyens/BDTMF_M.bmp,169,266,RGB,135184,data/BDTP_DLC.BIF,64c309d132c7891af7933dba839ee7e2f25a04ced9b6e6dc0bacbfb82d6793ce,BDTMFS,petits/BDTMF_S.bmp,54,84,RGB,13832,data/BDTP_DLC.BIF,3900704cb224b14b7a79a1d17dd3745df5608dbfe733946dd7aa7a6ef978293e
BDTMG,yes,no,no,0,LMS,BDTMGL,grands/BDTMG_L.bmp,210,330,RGB,208616,data/BDTP_DLC.BIF,e3960d753f2caa0a4b7c4afad5810e0aa45b58580638d19928b0cae22be7dcfe,BDTMGM,moyens/BDTMG_M.bmp,169,266,RGB,135184,data/BDTP_DLC.BIF,536fe97447897484a1c830e1b1bb60a426e8beb0139369b22ee122fdcf3bd420,BDTMGS,petits/BDTMG_S.bmp,54,84,RGB,13832,data/BDTP_DLC.BIF,16d227003376a7973a51b18c020dfa6d56e795cb78acb307763799e49e698e3e
BDTMH,yes,no,no,0,LMS,BDTMHL,grands/BDTMH_L.bmp,210,330,RGB,208616,data/BDTP_DLC.BIF,ab593dab7497ab48d34cc6e8814fe43a3fdd91971a13356eb531b32d92f1c607,BDTMHM,moyens/BDTMH_M.bmp,169,266,RGB,135184,data/BDTP_DLC.BIF,3cc759c5a534875c0e45f6df997cac56e4711e0ee177578f9a353ce87b2b4e0d,BDTMHS,petits/BDTMH_S.bmp,54,84,RGB,13832,data/BDTP_DLC.BIF,5709d4831b390499223146702a1f469e3d429df4eb6a942f4b4ae7d09f260186
BDTMI,yes,no,no,0,LMS,BDTMIL,grands/BDTMI_L.bmp,210,330,RGB,208616,data/BDTP_DLC.BIF,fc8282b46426add0b4adfc8620f8c55fe1446a11f69c52759a9b5266b49766f3,BDTMIM,moyens/BDTMI_M.bmp,169,266,RGB,135184,data/BDTP_DLC.BIF,2831b0d056d1f0cede24f0ed68407fca504d8a8b774e0255ef69e8cf0a7b95cc,BDTMIS,petits/BDTMI_S.bmp,54,84,RGB,13832,data/BDTP_DLC.BIF,a6b415b5fe8299f106a58e6a4c6d2cebd498d6d9ac6d686958dd5f34eadd716c
BDTMJ,yes,no,no,0,LMS,BDTMJL,grands/BDTMJ_L.bmp,210,330,RGB,208616,data/BDTP_DLC.BIF,146e0461a8a8f2de58e3f3c074ba126d1d31da71eda07a10f05315b5959ce783,BDTMJM,moyens/BDTMJ_M.bmp,169,266,RGB,135184,data/BDTP_DLC.BIF,8ab804da636abc404f233219237a5526f399ca330a863aba3373fd5dd0153a7d,BDTMJS,petits/BDTMJ_S.bmp,54,84,RGB,13832,data/BDTP_DLC.BIF,ea6193c6c2774da6618187d365ae8ce7257ea7c54f0eb1802c8146748e878387
BDTMK,yes,no,no,0,LMS,BDTMKL,grands/BDTMK_L.bmp,210,330,RGB,208616,data/BDTP_DLC.BIF,922101f8dc667e81b90974ab7c344584d23fac0e6611fc562d88f2c6fcec7918,BDTMKM,moyens/BDTMK_M.bmp,169,266,RGB,135184,data/BDTP_DLC.BIF,7d6680be57e0c7b5cbd272fdfe1e484f563de2455583176aed5eb6dee88b05dd,BDTMKS,petits/BDTMK_S.bmp,54,84,RGB,13832,data/BDTP_DLC.BIF,1d601a62bcea7bc89c5014f132e25ee205c7f70a9ea47ed089582255777ca035
BRANWE,yes,yes,no,3,LMS,BRANWEL,grands/BRANWE_L.bmp,210,330,RGB,208616,data/Portrait.bif,4274d47eb4b75765c4eac3f42b660afce72c5fb666e98a55d95d13f6c9bdf833,BRANWEM,moyens/BRANWE_M.bmp,169,266,RGB,135184,data/Portrait.bif,d237bf5d2d2ba91cefa999f12cd42c83ce2d774a1aeb5b7ea4fca37d5d51f43c,BRANWES,petits/BRANWE_S.bmp,54,84,RGB,13832,data/Portrait.bif,3465b7f3e92176e27b245395e9e5f199ffccfe533e8003f4280f1bb87306528d
CORAN,yes,no,yes,1,LMS,CORANL,grands/CORAN_L.bmp,210,330,RGB,208616,data/Portrait.bif,b804d129222ceb60100af9a7a00088757e0b29deae53902a9f5ed7f688a8eff2,CORANM,moyens/CORAN_M.bmp,169,266,RGB,135184,data/Portrait.bif,a1dc7caf968b3285c9d79ab40979f2ba6a8624b46e4e24e5b4b3ec88108e3e39,CORANS,petits/CORAN_S.bmp,54,84,RGB,13832,data/Portrait.bif,3a0689a1f4c483e3da57eeff2568238dc9185dcdfb2e7418bc25c89016154a0b
