portrait,selectable,recrutable,rencontre,creatures,tailles,ressource_l,fichier_l,largeur_px_l,hauteur_px_l,mode_l,octets_l,bif_source_l,sha256_l,ressource_m,fichier_m,largeur_px_m,hauteur_px_m,mode_m,octets_m,bif_source_m,sha256_m,ressource_s,fichier_s,largeur_px_s,hauteur_px_s,mode_s,octets_s,bif_source_s,sha256_s
MANLEY6,yes,no,no,0,LMS,MANLEY6L,grands/MANLEY6_L.bmp,210,330,RGB,208616,data/patch13.bif,960567ae9f6066ffb4a8c99d96d78439891dab3e8c2cadd87022357ef168368c,MANLEY6M,moyens/MANLEY6_M.bmp,169,266,RGB,135184,data/patch13.bif,134e55fcc1ef0c5b0cc54466de4d59b276719c1862d896ca96924105b165aa84,MANLEY6S,petits/MANLEY6_S.bmp,54,84,RGB,13832,data/patch13.bif,ef9b3dd30350e3f73d477983824d1ac315705c2334ed7c017a3c068470c62979
MANLEY7,yes,no,no,0,LMS,MANLEY7L,grands/MANLEY7_L.bmp,210,330,RGB,208616,data/patch13.bif,d2e9a9aa1bef1458fec720b339dbb56a1738f0e496fe14d28434260855c3d537,MANLEY7M,moyens/MANLEY7_M.bmp,169,266,RGB,135184,data/patch13.bif,ba8af25cdb645bdcd657a9cb4a06c6d19f807a9a579cf5c3ed7c532eb402e2d5,MANLEY7S,petits/MANLEY7_S.bmp,54,84,RGB,13832,data/patch13.bif,4175533ccba13bedd55ea0d117128c09027da591fddcd1ca31712aa04acbb227
MANLEY8,yes,no,no,0,LMS,MANLEY8L,grands/MANLEY8_L.bmp,210,330,RGB,208616,data/patch13.bif,86dd44ae023971ab2f35ae210505bde86684ab38fb276e86b008cfdcf6f4d990,MANLEY8M,moyens/MANLEY8_M.bmp,169,266,RGB,135184,data/patch13.bif,84caa907e38064ae2d221518058d24046764f1e82938e4b846056e39e7c39695,MANLEY8S,petits/MANLEY8_S.bmp,54,84,RGB,13832,data/patch13.bif,00136c8b518e05173c1d3ab10fbe693e233ebcb149c371d1b31294bc100caab4
MANLEY9,yes,no,no,0,LMS,MANLEY9L,grands/MANLEY9_L.bmp,210,330,RGB,208616,data/patch13.bif,3002a1f13248ee6d5457c667e4ccc7c49e1ae78a9ba4565a58e44aa2d02b9c7e,MANLEY9M,moyens/MANLEY9_M.bmp,169,266,RGB,135184,data/patch13.bif,fcc3c7d2e9fce670b034ce4306e06341a0df5de4617dedb00edf90dc38b01515,MANLEY9S,petits/MANLEY9_S.bmp,54,84,RGB,13832,data/patch13.bif,79f5648a8ecad92389436a6ee4cbc7645f79e0f331a9276b72905581ed65995f
MANLEYX,yes,no,no,0,LMS,MANLEYXL,grands/MANLEYX_L.bmp,210,330,RGB,208616,data/patch13.bif,ebb74e28e5d7f63e8109ec4e7c2af50bbac98eef950e1075db4dc2771fa72bf0,MANLEYXM,moyens/MANLEYX_M.bmp,169,266,RGB,135184,data/patch13.bif,a5262a4381e94112042b79de3fcda7b9ede59a8c3791a0d9c04ce9eff2b6dbb4,MANLEYXS,petits/MANLEYX_S.bmp,54,84,RGB,13832,data/patch13.bif,6d91bb2d096f36282f1d3dca49f6d821fa950d3912c6fde76d455c2c0cf45498
MEL_BAD,no,no,yes,2,S,,,,,,,,,,,,,,,,,MEL_BADS,petits/MEL_BAD_S.bmp,54,84,RGB,13832,data/25Portrt.bif,38982cb362cc7abeb90418aec6640ad2eeb8a60d94bc4d1752837749a87e56c3
MEL_GD,no,no,yes,3,S,,,,,,,,,,,,,,,,,MEL_GDS,petits/MEL_GD_S.bmp,54,84,RGB,13832,data/25Portrt.bif,7f1d0eba8c4096a27a90b68758a25bc5d4ce39297c6904da69b05235085bdca8
MINSC,yes,no,yes,1,LMS,MINSCL,grands/MINSC_L.bmp,210,330,RGB,208616,data/Portrait.bif,8daf22501244591722de23332f93632664f40696135517d64a91db1405412e85,MINSCM,moyens/MINSC_M.bmp,169,266,RGB,135184,data/Portrait.bif,d92ec48e021d2bbef122c7b162eabebb6bbb1a0b86ac434ed95e5560787c02ee,MINSCS,petits/MINSC_S.bmp,54,84,RGB,13832,data/Portrait.bif,627e530bc4ac0dc5825b371dbe8e41b47fa6e5efbd052bf152cee4a4aafc5e20
MONTAR,yes,no,yes,1,LMS,MONTARL,grands/MONTAR_L.bmp,210,330,RGB,208616,data/Portrait.bif,e5a464ce59e3ee4217c4a29db06f27ad973c7e747c6b78e9b7038cd5e962124f,MONTARM,moyens/MONTAR_M.bmp,169,266,RGB,135184,data/Portrait.bif,7c1839b213401ae188ffe05d2f5c4f1eb751268ab31dbf961a64f0d03e88a6ed,MONTARS,petits/MONTAR_S.bmp,54,84,RGB,13832,data/Portrait.bif,363da5df250fbb8eea113f6672755b82a3f9569f1ef745a405b162b492fa5167
NAERIE,yes,yes,no,2,LMS,NAERIEL,grands/NAERIE_L.bmp,210,330,RGB,208616,data/Portrait.bif,cefd6f4b63b907d884afafb66ade148483f3f16387a5b37cbca9769ff6c8c1fe,NAERIEM,moyens/NAERIE_M.bmp,169,266,RGB,135184,data/Portrait.bif,241e2a5b65805ecb3a7abc042ee2e2f15acf6e8c4e3aecb918d8e170df0e2e4c,NAERIES,petits/NAERIE_S.bmp,54,84,RGB,13832,data/Portrait.bif,2f66530723431bd971f5c6e30ad140f0291b14124c5efb75fc3dac53d8d32ddf
NANOMEN,yes,yes,no,6,LMS,NANOMENL,grands/NANOMEN_L.bmp,210,330,RGB,208616,data/Portrait.bif,93c24378bf336d08e073bb4d0f0a01b7de3e03849231d00c54bb419c5263f05b,NANOMENM,moyens/NANOMEN_M.bmp,169,266,RGB,135184,data/Portrait.bif,d39185291186e4cc3e687c54600a49b8b80ac6f41f642d3b431fb93bfb5b70da,NANOMENS,petits/NANOMEN_S.bmp,54,84,RGB,13832,data/Portrait.bif,4d814723c901fac93980d462904a57ab87604da79bc604a8cc4eb3a99b962b37
NBODHI,no,no,yes,11,S,,,,,,,,,,,,,,,,,NBODHIS,petits/NBODHI_S.bmp,54,84,RGB,13832,data/Portrait.bif,260bdca17ec6d3f36e1e5f702d5d13de6e4d644117e32f69e6c71e09f48f5b3d
NCERND,yes,yes,no,5,LMS,NCERNDL,grands/NCERND_L.bmp,210,330,RGB,208616,data/Portrait.bif,f93398b51368367b9db36fee1db72e6e45a87e3acf10e8ff75f9b620eb7ed1c6,NCERNDM,moyens/NCERND_M.bmp,169,266,RGB,135184,data/Portrait.bif,72a0f364f5545e0d4c3c777bd206aea83d968e9f44e8beb9340d91c7cbeb2eab,NCERNDS,petits/NCERND_S.bmp,54,84,RGB,13832,data/Portrait.bif,1c2e56205f6a121037e6859b91586aa3b8b013566c0aecb1e5bee382fcbe4db3
NEDWIN,yes,yes,no,6,LMS,NEDWINL,grands/NEDWIN_L.bmp,210,330,RGB,208616,data/Portrait.bif,77add9fce0ff560114c94dee8819422336b607edf619a2898196f959077aab80,NEDWINM,moyens/NEDWIN_M.bmp,169,266,RGB,135184,data/Portrait.bif,f5a92c1a5f4c5eff0e061b785d529e6fa9723c8145807b95bc35e8940cfdc63f,NEDWINS,petits/NEDWIN_S.bmp,54,84,RGB,13832,data/Portrait.bif,d29d53c794ddfccb145c64cfc2e2501aa47ba587b3136d12329ad67a5ca44ab3
NEERA,yes,yes,no,7,LMS,NEERAL,grands/NEERA_L.bmp,210,330,RGB,208616,data/bgee.bif,601b778739a9ed9b014cc9f70696b97ded6e8ef03a0f7495414e86d9c4852b71,NEERAM,moyens/NEERA_M.bmp,169,266,RGB,135184,data/bgee.bif,e16e108c00bac58dfcb6971c9be0fadf7af42cf5eeb3139962e218efb8f3273e,NEERAS,petits/NEERA_S.bmp,54,84,RGB,13832,data/bgee.bif,db3bbdfee405bb70a74aa719bdb188637e2f0b6fac23a44175af792b1deaad42
NELLE,no,no,yes,3,S,,,,,,,,,,,,,,,,,NELLES,petits/NELLE_S.bmp,54,84,RGB,13832,data/Portrait.bif,55d60914ba4c1c90abafe0d30d03b950cc5462ec255fb26037d9524acf8feb1a
NHAER,yes,yes,no,5,LMS,NHAERL,grands/NHAER_L.bmp,210,330,RGB,208616,data/Portrait.bif,83c6ee59acf3624d671e2ce0dd5e58f33fcde782c1ef86d5b5e8328d2130ace7,NHAERM,moyens/NHAER_M.bmp,169,266,RGB,135184,data/Portrait.bif,9140abf6c5062d28140d141d3bb75279b6fd67801d744926696d16cce05d0d75,NHAERS,petits/NHAER_S.bmp,54,84,RGB,13832,data/Portrait.bif,4c75879924828a2aae937c50bf10894c00f2fc864794751ef512c76d7937527e
NHORC,yes,no,no,0,LMS,NHORCL,grands/NHORC_L.bmp,210,330,RGB,208616,data/Portrait.bif,097015bc28b1a9d6baa98a48ee4f74a326f4cd0e4f71385fd6232dd1810aef08,NHORCM,moyens/NHORC_M.bmp,169,266,RGB,135184,data/Portrait.bif,aa029de8af06ef7fcdd8bec00b6ab7ea945c3ff7b4862b9b82480f16f6d0ac7b,NHORCS,petits/NHORC_S.bmp,54,84,RGB,13832,data/Portrait.bif,82cac712dbb2a8550e55cd66a6e7f5342e413eab43c406f18cdfbbea95982ca1
NIMOEN,no,yes,no,19,LMS,NIMOENL,grands/NIMOEN_L.bmp,210,330,RGB,208616,data/Portrait.bif,b4b1a760357198d1e6627c27d217f611bd3e1042bee308210b1eb8b99d2cfac6,NIMOENM,moyens/NIMOEN_M.bmp,169,266,RGB,135184,data/Portrait.bif,c01f2ec0b826779b33b07c6118fa88caa82d3c1a4e50d97c10b306bdf2912d29,NIMOENS,petits/NIMOEN_S.bmp,54,84,RGB,13832,data/Portrait.bif,f2c29df3701f9939d87595bb811c0156ee5e7bb11cc39c61e3e76b3bdf66d54b
NJAHEIR,yes,yes,no,8,LMS,NJAHEIRL,grands/NJAHEIR_L.bmp,210,330,RGB,208616,data/Portrait.bif,4774b6f12fb5412ad9fe43013944f79f253b21e6983ed03b28aa2e446a0ca568,NJAHEIRM,moyens/NJAHEIR_M.bmp,169,266,RGB,135184,data/Portrait.bif,7f179eebaf90e85cf72806e5ec05fcb827d4604e604750d64e695497e85bbb7f,NJAHEIRS,petits/NJAHEIR_S.bmp,54,84,RGB,13832,data/Portrait.bif,eda17dd0c7986e354e9d5adc4ec71470e1202e3b96e109d4df53f69f8debb979
NJAN,yes,yes,no,5,LMS,NJANL,grands/NJAN_L.bmp,210,330,RGB,208616,data/Portrait.bif,2298b9e009427e8967603cfc2aaa7c7adf6964245b6d575fbb5ac0958e0b7a5f,NJANM,moyens/NJAN_M.bmp,169,266,RGB,135184,data/Portrait.bif,c6af07e3556d452e735f0d4d43a481e08f527e0fa0e871db9d4fb52d36a979ef,NJANS,petits/NJAN_S.bmp,54,84,RGB,13832,data/Portrait.bif,dc680cdf0153be60207661333668df00e14124189671cc1d75ed46aea48d1ff6
NJON,no,no,yes,19,LMS,NJONL,grands/NJON_L.bmp,210,330,RGB,208616,data/Portrait.bif,d9c682857ba48b68005ea66224b4a86547af38205cb4abb947228ebd2758e491,NJONM,moyens/NJON_M.bmp,169,266,RGB,135184,data/Portrait.bif,b5c9e1667c298f1a733b909ace3b0ce09af53c12d1897662788851c54b98ab09,NJONS,petits/NJON_S.bmp,54,84,RGB,13832,data/Portrait.bif,d60b92610337834527607c4b0ea65d656a19f6d9323f9a19e9ee179e96923b60
NKELDOR,yes,yes,no,6,LMS,NKELDORL,grands/NKELDOR_L.bmp,210,330,RGB,208616,data/Portrait.bif,2853c8065d2656a49b28be1c716d81439dae821229a03f195320ccbe016c6024,NKELDORM,moyens/NKELDOR_M.bmp,169,266,RGB,135184,data/Portrait.bif,7ab276fa3e5788a983875419996819071d6430715a055ed5d6ab878a8aacdb23,NKELDORS,petits/NKELDOR_S.bmp,54,84,RGB,13832,data/Portrait.bif,d5672ce03a99e2d9cdc1c410e6431da88514ff9c0ee6a95883985d3b580d38b1
NKORGAN,yes,yes,no,6,LMS,NKORGANL,grands/NKORGAN_L.bmp,210,330,RGB,208616,data/Portrait.bif,d8cb478cc396ec657200dd1521dc6504ceb8830972ad3a29d2c5ed77a6bc530c,NKORGANM,moyens/NKORGAN_M.bmp,169,266,RGB,135184,data/Portrait.bif,ed6fce63c38c5bb3703d51d2eb7896e02b1d641524d5713d9fd92b9b01b788ed,NKORGANS,petits/NKORGAN_S.bmp,54,84,RGB,13832,data/Portrait.bif,5d1b9b08da4e5d52bd7d7a15c1487ef9cd22ef6a1df04ae430a8fffacd8e2dfc
NMAZZY,yes,yes,no,5,LMS,NMAZZYL,grands/NMAZZY_L.bmp,210,330,RGB,208616,data/Portrait.bif,307288dd86ec1a5ee63455c66ac940c81b64e2952443e312e1e1b21a255585e1,NMAZZYM,moyens/NMAZZY_M.bmp,169,266,RGB,135184,data/Portrait.bif,229653b88ca8b44bc117383ad823bcc8b8902d0575eff6ddf6d115ca0590bc00,NMAZZYS,petits/NMAZZY_S.bmp,54,84,RGB,13832,data/Portrait.bif,38163926cfc9aecc19aa705b286174e43771aecce3561df585932e6d5e807884
NMINSC,yes,yes,no,8,LMS,NMINSCL,grands/NMINSC_L.bmp,210,330,RGB,208616,data/Portrait.bif,f71976155098bb3f902e98dd719aacc65e99faccb5d6cc3c55b3133986231468,NMINSCM,moyens/NMINSC_M.bmp,169,266,RGB,135184,data/Portrait.bif,8f0fa8ce99d31c16c36fd60ac3e82dfa10027f0f87da99233efc915bcd891a7a,NMINSCS,petits/NMINSC_S.bmp,54,84,RGB,13832,data/Portrait.bif,8efd9d468b0f53e4df6d34560eb4174dc8a0a4a39ce5c89d047644afde2a7778
NNALIA,yes,yes,no,6,LMS,NNALIAL,grands/NNALIA_L.bmp,210,330,RGB,208616,data/Portrait.bif,d3efbd784b13478512dfea4f536260d2943b9566bcf18140b7a355d7d914eb0a,NNALIAM,moyens/NNALIA_M.bmp,169,266,RGB,135184,data/Portrait.bif,f87f406d32e75f994ec620bfd2e8832302cba610df4662aaf20c4ac025411173,NNALIAS,petits/NNALIA_S.bmp,54,84,RGB,13832,data/Portrait.bif,06b283f7673e2c56f7c2c6849c86c3ad6cbb43df64855cd2549c905863c1dfcc
NVALYGA,yes,yes,no,5,LMS,NVALYGAL,grands/NVALYGA_L.bmp,210,330,RGB,208616,data/Portrait.bif,2559a10b258ab99522d648b400712f8e21e05847ddd8326daa17af390c7661f4,NVALYGAM,moyens/NVALYGA_M.bmp,169,266,RGB,135184,data/Portrait.bif,7293019fd904be8ba48083e15aa56f76558cb26d29275618fd465d506d409ecf,NVALYGAS,petits/NVALYGA_S.bmp,54,84,RGB,13832,data/Portrait.bif,bfd1a0b5cf2b11b29a3097473a723ad4ea64f3a8bc1e3ba3752f976296d4e30e
NVICON,yes,yes,no,6,LMS,NVICONL,grands/NVICON_L.bmp,210,330,RGB,208616,data/Portrait.bif,28d3a2b7788a8c70a6c1239fd0182a321208191192ca1f51a79db4854b38b2cf,NVICONM,moyens/NVICON_M.bmp,169,266,RGB,135184,data/Portrait.bif,357f921464f4c006b57027dc4935ace38776a2e66d79f5af8ce937861da24d4e,NVICONS,petits/NVICON_S.bmp,54,84,RGB,13832,data/Portrait.bif,7a8fd54b6b10089dbb3cc4bd8bacd9a2ba5083bd56e78c6cc491bf93317891b2
NYOSHIM,yes,yes,no,5,LMS,NYOSHIML,grands/NYOSHIM_L.bmp,210,330,RGB,208616,data/Portrait.bif,216d534413806eced97cc49ae837a366f37791d31b7c01a1b1dcd74d2173b18b,NYOSHIMM,moyens/NYOSHIM_M.bmp,169,266,RGB,135184,data/Portrait.bif,8973f25d43d62d38d619f5030174a1455b5e0aa2621992d4e880fbfccdd67ba6,NYOSHIMS,petits/NYOSHIM_S.bmp,54,84,RGB,13832,data/Portrait.bif,a1d95be441f2bb96b7b0374aaa1a4cdb4bffe2230ce280bfe5b2626b456edb84
OHHEX,yes,yes,no,6,LMS,OHHEXL,grands/OHHEX_L.bmp,210,330,RGB,208616,data/Hexxat.bif,8f64eae7be7fa91cd13bc17e4d7ce6b449e122e9d5fa013bd543bc2760186eee,OHHEXM,moyens/OHHEX_M.bmp,169,266,RGB,135184,data/Hexxat.bif,0022c1f2ce1c9ca89809657c7f06717b64089d1264c70b321c023dbc83ca4b38,OHHEXS,petits/OHHEX_S.bmp,54,84,RGB,13832,data/Hexxat.bif,40b0239a3f07233f410cd57f3e72cdcd1c2b8672364fafcb1200eb884b5a26c0
OHHEXX,no,yes,no,7,LMS,OHHEXXL,grands/OHHEXX_L.bmp,210,330,RGB,208616,data/Hexxat.bif,992ba6b6433ae3c9d66ec1e8a4bea56446ef4943f6d88ebbf2bcd5717c4c537d,OHHEXXM,moyens/OHHEXX_M.bmp,169,266,RGB,135184,data/Hexxat.bif,a4f8276f8a264deb9f673706af6e2f41347bc5985d8afb1343e45c0fbb42fcff,OHHEXXS,petits/OHHEXX_S.bmp,54,84,RGB,13832,data/Hexxat.bif,bd22c836de694661263952315cc81cdeecdbea62e9349c2fcda15078cc47b0fe
QUAYLE,yes,no,yes,1,LMS,QUAYLEL,grands/QUAYLE_L.bmp,210,330,RGB,208616,data/Portrait.bif,dfe71a5bf504cd273eee571f380573c58f218f4bae60c13ba7be6569ab60f71b,QUAYLEM,moyens/QUAYLE_M.bmp,169,266,RGB,135184,data/Portrait.bif,7989de146c7306c7f323bb570f202c6d0f1ef3940a4dee4fc4b6c8451fe2839a,QUAYLES,petits/QUAYLE_S.bmp,54,84,RGB,13832,data/Portrait.bif,f8af1541e48e30c4b36faab2e7575b282090a543f0855438d52377499c2d6ffe
RASAAD,yes,yes,no,7,LMS,RASAADL,grands/RASAAD_L.bmp,210,330,RGB,208616,data/bgee.bif,ae5f64bb391ea60d238bbe3a690d9e06f9059bc206b496af64f238e25301d046,RASAADM,moyens/RASAAD_M.bmp,169,266,RGB,135184,data/bgee.bif,0d479bf4544adee752d209510fd07eeae2413cbfb71d84c3f018edb2022ce517,RASAADS,petits/RASAAD_S.bmp,54,84,RGB,13832,data/bgee.bif,8986b40a77b6198d760dcce7e534a7da7b147edea62d363736b33cd744653a21
SAFANA,yes,no,yes,1,LMS,SAFANAL,grands/SAFANA_L.bmp,210,330,RGB,208616,data/Portrait.bif,1d96a0bd1a84edab2a67c98fd45461165d8d7f00bb4ed3d62f18e11b095028dd,SAFANAM,moyens/SAFANA_M.bmp,169,266,RGB,135184,data/Portrait.bif,1cfa21da262147f7f7ed92fde6e5b8bf98145774f6aa7f341c8a7e2b508ceca6,SAFANAS,petits/SAFANA_S.bmp,54,84,RGB,13832,data/Portrait.bif,976652bf37ed7facebcdcb0140b20aba905d3f61213b609d1372233d0cb1a487
SAREVOK,no,yes,no,2,LMS,SAREVOKL,grands/SAREVOK_L.bmp,210,330,RGB,208616,data/25Portrt.bif,ac324b613a7d973dcc75d20f06e3498607e100770fc78ad778d226724c61a3ca,SAREVOKM,moyens/SAREVOK_M.bmp,169,266,RGB,135184,data/25Portrt.bif,c9d01c407dc52eea8d3bf18c707fbdf426041151bb946303bcbf658564c2db6d,SAREVOKS,petits/SAREVOK_S.bmp,54,84,RGB,13832,data/25Portrt.bif,4420749060e441514faaa041dbfc57c89967b4cafeb236a52541a218df36f907
SENDAI,no,no,yes,1,S,,,,,,,,,,,,,,,,,SENDAIS,petits/SENDAI_S.bmp,54,84,RGB,13832,data/25Portrt.bif,fbde9e233af743ede3a0ccce1f22287cdc6f32bd77a74847e10cc238248800ee
SHARTEL,yes,no,no,0,LMS,SHARTELL,grands/SHARTEL_L.bmp,210,330,RGB,208616,data/Portrait.bif,b4e936a8da96bd77234a9ba9489132958f2a935f85b70ae38c47ca2c8ad1a4ac,SHARTELM,moyens/SHARTEL_M.bmp,169,266,RGB,135184,data/Portrait.bif,773d7f831e0904dcdd128cb1b4cabc31d3d11c5c84c68c232eced13875073965,SHARTELS,petits/SHARTEL_S.bmp,54,84,RGB,13832,data/Portrait.bif,b228c4b7908be70658f94f2473ca47c487290fef0a30c9d67d7b8c3aac8d73c2
SKAN,yes,no,no,0,LMS,SKANL,grands/SKAN_L.bmp,210,330,RGB,208682,data/Portrait.bif,2db9512ee648e5f6b0cdaa2231acefb96923ff630a3aaf9819e4a306d01dfc2b,SKANM,moyens/SKAN_M.bmp,169,266,RGB,135250,data/Portrait.bif,0aa95f78d047636d691ff76337c9adddc9bcc39205d2a0e6d9f14c1df1d18dda,SKANS,petits/SKAN_S.bmp,54,85,RGB,14062,data/Portrait.bif,83c2c9c1f363bc1010374e743854a99bb37ae021a924c14350ae739d9b6701e8
SKIE,yes,no,yes,1,LMS,SKIEL,grands/SKIE_L.bmp,210,330,RGB,208616,data/Portrait.bif,6b62ffcf90ed8b0d221b57395e8979bef2e914b5453089bb8afa9eff7e75a7eb,SKIEM,moyens/SKIE_M.bmp,169,266,RGB,135184,data/Portrait.bif,2d37c20543653c88ba153c869bf6aebf7709fd462a6a7e8057ed2be34374075d,SKIES,petits/SKIE_S.bmp,54,84,RGB,13832,data/Portrait.bif,8c04e33475ba90d2bbf2de2da306bc6a45cf7c8df035269ac8adbc3bf68d84d6
SOLAR,no,no,yes,2,S,,,,,,,,,,,,,,,,,SOLARS,petits/SOLAR_S.bmp,54,84,RGB,13832,data/25Portrt.bif,8278116acc21a9395e90eae50d5a7ad9a0be9796356bb43ba5a5ca3ff1c64a96
TIAX,yes,no,no,0,LMS,TIAXL,grands/TIAX_L.bmp,210,330,RGB,208616,data/Portrait.bif,d87607f0a9301678a88aac94df19fa54d8942c8dab84a83612e86c1c7df641c5,TIAXM,moyens/TIAX_M.bmp,169,266,RGB,135184,data/Portrait.bif,c8a4211bb563d6f55b6db8c3b7a319d1288d4ac27e34edb4dda7432113085254,TIAXS,petits/TIAX_S.bmp,54,84,RGB,13832,data/Portrait.bif,c9657d9aff77ea1428ed7c18562db9e2f6913b6952bdbd70f3ac5f8b8271bb4e
VICONIA,yes,no,no,0,LMS,VICONIAL,grands/VICONIA_L.bmp,210,330,RGB,208616,data/Portrait.bif,0e216040cb851641f7e8b44af1b5120a661d75bacf983da1bc407ed3a7f3abbb,VICONIAM,moyens/VICONIA_M.bmp,169,266,RGB,135184,data/Portrait.bif,97d8541eddfbf9b012879e1fb94529addd0c689312347c791fbc0ffa7c5b3dc3,VICONIAS,petits/VICONIA_S.bmp,54,84,RGB,13832,data/Portrait.bif,de4291bc5203be475a3aa7e933092a0a7a06f751cec3f9152fa86e9c5a64cdd4
WILSON,no,yes,no,2,LMS,WILSONL,grands/WILSON_L.bmp,210,330,RGB,208616,data/Portrait.bif,e60966c6c5560f67b7b55bd26071d13767dca11608741599f5b31c332cb024a8,WILSONM,moyens/WILSON_M.bmp,169,266,RGB,135184,data/Portrait.bif,031b2a6257f13c5cdfa47b606d741fafdf098f44bcbb9822614f6b5ed6987fb4,WILSONS,petits/WILSON_S.bmp,54,84,RGB,13832,data/Portrait.bif,ca95af74349eef3d7c0004ca429e425c055f2001bab7fb96dd513e03cf50592b
WOMAN1,yes,no,yes,1,LMS,WOMAN1L,grands/WOMAN1_L.bmp,210,330,RGB,208614,data/Portrait.bif,e88e534e63cc598d33d2d1b3ed34f05c02529cbd0baa8b4d04158fff416e6906,WOMAN1M,moyens/WOMAN1_M.bmp,169,266,RGB,135184,data/Portrait.bif,f2cc43c7e09e0c75db0dba52b440e3e0a91ebfc3f214e8835b298ee0cf643046,WOMAN1S,petits/WOMAN1_S.bmp,54,84,RGB,13832,data/Portrait.bif,47f78ce4d9e6c4d7fb298d081aa7bd2f866aa054418cc4632d18d6bd858b5fee
WOMAN2,yes,no,no,0,LMS,WOMAN2L,grands/WOMAN2_L.bmp,210,330,RGB,208616,data/Portrait.bif,95c2a928196ea8f4c4be180a46246cc0409a211c516db8c4011298a21c43b1d7,WOMAN2M,moyens/WOMAN2_M.bmp,169,266,RGB,135184,data/Portrait.bif,bf29579ce35bbdace4c0c4d2d33d42bec3e2911993fc5ded25dac7d72839692b,WOMAN2S,petits/WOMAN2_S.bmp,54,84,RGB,13832,data/Portrait.bif,0d11350ef62dd4154102ea673f1f5abb3de4d058d6a9cda5644581cb57e0900e
XAN,yes,yes,no,1,LMS,XANL,grands/XAN_L.bmp,210,330,RGB,208616,data/Portrait.bif,3215a74ba26e485dd547138c92275f7e3300556812115b6b327be52637f324c7,XANM,moyens/XAN_M.bmp,169,266,RGB,135184,data/Portrait.bif,99aa36e2ff1b813844a39dc1abbec71b1444ccdff0abf1dc2f072fbb86ae0ff4,XANS,petits/XAN_S.bmp,54,84,RGB,13832,data/Portrait.bif,453c57ba75c1f160ec51d398e3912e52a4fd158dabb5d966a47862da020d9e68
XZAR,yes,no,no,0,LMS,XZARL,grands/XZAR_L.bmp,210,330,RGB,208616,data/Portrait.bif,2a1f10cbf23b4701a73eeecb813ef6b6cd66cfda423391e45566120792af527c,XZARM,moyens/XZAR_M.bmp,169,266,RGB,135184,data/Portrait.bif,d83c1fbd91730aceb88dfa083ed62f159a2ff081cedb28f93bda87da66f54e1f,XZARS,petits/XZAR_S.bmp,54,84,RGB,13832,data/Portrait.bif,4d817f60dc2836af4dee407a4c49b20ce4eff8fac40a4e7d72832be31aacd9f2
YAGASHR,no,no,yes,2,S,,,,,,,,,,,,,,,,,YAGASHRS,petits/YAGASHR_S.bmp,54,84,RGB,13832,data/25Portrt.bif,cca52742a5041d733b460319a4a608bd9696926211bc17bc3c72692aaef0c88d
YANNER1,yes,no,no,0,LMS,YANNER1L,grands/YANNER1_L.bmp,210,330,RGB,208616,data/Portrait.bif,b33ac4861b457dfa10fa33fa5eb3b183380e4f7e1b628affc6c2ce5fd3dde009,YANNER1M,moyens/YANNER1_M.bmp,169,266,RGB,135184,data/Portrait.bif,018447bc4dba635607842d201cee98ca78ebb40cbd9c558fb01a713e4d896644,YANNER1S,petits/YANNER1_S.bmp,54,84,RGB,13832,data/Portrait.bif,7eb8e8e43f097e0f91481fe3f83922baeccb69ebfbf697d4d0760451e5da6219
YANNER2,yes,no,no,0,LMS,YANNER2L,grands/YANNER2_L.bmp,210,330,RGB,208616,data/Portrait.bif,57cb09aae7883ed4351fc38d89da8271b4e94574161ee67744ecc74b8f329820,YANNER2M,moyens/YANNER2_M.bmp,169,266,RGB,135184,data/Portrait.bif,01d5507417c5f0aaf9d2ae445110cc51e171692a1af693e7f086587615bbbc3e,YANNER2S,petits/YANNER2_S.bmp,54,84,RGB,13832,data/Portrait.bif,6fcee94afcdf0392c41007b4037d520f5aa071ef799df53aca69631f04080812
YANNER3,yes,no,no,0,LMS,YANNER3L,grands/YANNER3_L.bmp,210,330,RGB,208616,data/Portrait.bif,96084e88bebf309788f3b6a24ba0d419cda8d3b37f515d2963ed109ba5ba9f32,YANNER3M,moyens/YANNER3_M.bmp,169,266,RGB,135184,data/Portrait.bif,4901bae3658fc7f49458198bb3f9785de932a47d596bfbc9210f8e8e17be6eac,YANNER3S,petits/YANNER3_S.bmp,54,84,RGB,13832,data/Portrait.bif,dd52b8bbed3f50c64de83f4b491beba598cd3aeb990757bffe8d0b8e5c1b0110
YANNER4,yes,no,no,0,LMS,YANNER4L,grands/YANNER4_L.bmp,210,330,RGB,208616,data/Portrait.bif,789a704e9c28ccadbdb1bec9d6ca93a9cff16763a3e644d0f5b66c70c5625b22,YANNER4M,moyens/YANNER4_M.bmp,169,266,RGB,135184,data/Portrait.bif,acc2f89ff8b789c58c5155b5e4ea5318d8b5cb7934ba579c00ba925d6b292698,YANNER4S,petits/YANNER4_S.bmp,54,84,RGB,13832,data/Portrait.bif,195743f4c0d773819252fab09bcaa8bde659762a23cd6a0a37133246a498826a
