pnj,nom,base,taille,ressource,largeur,hauteur,mode,bif_source,sha256,note,tailles
MAZZY,Mazzy,NMAZZY,moyen,NMAZZYM,169,266,RGB,data/Portrait.bif,229653b88ca8b44bc117383ad823bcc8b8902d0575eff6ddf6d115ca0590bc00,,
MAZZY,Mazzy,NMAZZY,petit,NMAZZYS,54,84,RGB,data/Portrait.bif,38163926cfc9aecc19aa705b286174e43771aecce3561df585932e6d5e807884,,
MINSC,Minsc,NMINSC,grand,NMINSCL,210,330,RGB,data/Portrait.bif,f71976155098bb3f902e98dd719aacc65e99faccb5d6cc3c55b3133986231468,,
MINSC,Minsc,NMINSC,moyen,NMINSCM,169,266,RGB,data/Portrait.bif,8f0fa8ce99d31c16c36fd60ac3e82dfa10027f0f87da99233efc915bcd891a7a,,
MINSC,Minsc,NMINSC,petit,NMINSCS,54,84,RGB,data/Portrait.bif,8efd9d468b0f53e4df6d34560eb4174dc8a0a4a39ce5c89d047644afde2a7778,,
NALIA,Nalia,NNALIA,grand,NNALIAL,210,330,RGB,data/Portrait.bif,d3efbd784b13478512dfea4f536260d2943b9566bcf18140b7a355d7d914eb0a,,
NALIA,Nalia,NNALIA,moyen,NNALIAM,169,266,RGB,data/Portrait.bif,f87f406d32e75f994ec620bfd2e8832302cba610df4662aaf20c4ac025411173,,
NALIA,Nalia,NNALIA,petit,NNALIAS,54,84,RGB,data/Portrait.bif,06b283f7673e2c56f7c2c6849c86c3ad6cbb43df64855cd2549c905863c1dfcc,,
VALYGAR,Valygar,NVALYGA,grand,NVALYGAL,210,330,RGB,data/Portrait.bif,2559a10b258ab99522d648b400712f8e21e05847ddd8326daa17af390c7661f4,,
VALYGAR,Valygar,NVALYGA,moyen,NVALYGAM,169,266,RGB,data/Portrait.bif,7293019fd904be8ba48083e15aa56f76558cb26d29275618fd465d506d409ecf,,
VALYGAR,Valygar,NVALYGA,petit,NVALYGAS,54,84,RGB,data/Portrait.bif,bfd1a0b5cf2b11b29a3097473a723ad4ea64f3a8bc1e3ba3752f976296d4e30e,,
VICONIA,Viconia,NVICON,grand,NVICONL,210,330,RGB,data/Portrait.bif,28d3a2b7788a8c70a6c1239fd0182a321208191192ca1f51a79db4854b38b2cf,,
VICONIA,Viconia,NVICON,moyen,NVICONM,169,266,RGB,data/Portrait.bif,357f921464f4c006b57027dc4935ace38776a2e66d79f5af8ce937861da24d4e,,
VICONIA,Viconia,NVICON,petit,NVICONS,54,84,RGB,data/Portrait.bif,7a8fd54b6b10089dbb3cc4bd8bacd9a2ba5083bd56e78c6cc491bf93317891b2,,
YOSHIMO,Yoshimo,NYOSHIM,grand,NYOSHIML,210,330,RGB,data/Portrait.bif,216d534413806eced97cc49ae837a366f37791d31b7c01a1b1dcd74d2173b18b,,
YOSHIMO,Yoshimo,NYOSHIM,moyen,NYOSHIMM,169,266,RGB,data/Portrait.bif,8973f25d43d62d38d619f5030174a1455b5e0aa2621992d4e880fbfccdd67ba6,,
YOSHIMO,Yoshimo,NYOSHIM,petit,NYOSHIMS,54,84,RGB,data/Portrait.bif,a1d95be441f2bb96b7b0374aaa1a4cdb4bffe2230ce280bfe5b2626b456edb84,,
XAN,Xan,XAN,grand,XANL,210,330,RGB,data/Portrait.bif,3215a74ba26e485dd547138c92275f7e3300556812115b6b327be52637f324c7,hérité de BG1,
XAN,Xan,XAN,moyen,XANM,169,266,RGB,data/Portrait.bif,99aa36e2ff1b813844a39dc1abbec71b1444ccdff0abf1dc2f072fbb86ae0ff4,hérité de BG1,
XAN,Xan,XAN,petit,XANS,54,84,RGB,data/Portrait.bif,453c57ba75c1f160ec51d398e3912e52a4fd158dabb5d966a47862da020d9e68,hérité de BG1,
TTBRAN,Branwen,BRANWE,grand,BRANWEL,210,330,RGB,data/Portrait.bif,4274d47eb4b75765c4eac3f42b660afce72c5fb666e98a55d95d13f6c9bdf833,variante tutoriel,
TTBRAN,Branwen,BRANWE,moyen,BRANWEM,169,266,RGB,data/Portrait.bif,d237bf5d2d2ba91cefa999f12cd42c83ce2d774a1aeb5b7ea4fca37d5d51f43c,variante tutoriel,
TTBRAN,Branwen,BRANWE,petit,BRANWES,54,84,RGB,data/Portrait.bif,3465b7f3e92176e27b245395e9e5f199ffccfe533e8003f4280f1bb87306528d,variante tutoriel,
TTIMOEN,Imoen,NIMOEN,grand,NIMOENL,210,330,RGB,data/Portrait.bif,b4b1a760357198d1e6627c27d217f611bd3e1042bee308210b1eb8b99d2cfac6,variante tutoriel,
TTIMOEN,Imoen,NIMOEN,moyen,NIMOENM,169,266,RGB,data/Portrait.bif,c01f2ec0b826779b33b07c6118fa88caa82d3c1a4e50d97c10b306bdf2912d29,variante tutoriel,
TTIMOEN,Imoen,NIMOEN,petit,NIMOENS,54,84,RGB,data/Portrait.bif,f2c29df3701f9939d87595bb811c0156ee5e7bb11cc39c61e3e76b3bdf66d54b,variante tutoriel,
TTJAHEIR,Jaheira,JAHEIRA,grand,JAHEIRAL,210,330,RGB,data/Portrait.bif,380f402fde712c53fafaa2f535f75ff46bf8330ded09abf73a8b3599359c2e5d,variante tutoriel,
