run_key,domain,run_id,asset_count,asset_ids,path,run_kind,descriptor_path,recipe_path,result_state,qa_state,selection_state,selection_authority,inputs_state,outputs_state,provenance_state,legacy,notes
animations-pack:AR0700,animations,release-pack-ar0700,1,animations:pack:AR0700,animations/packs-par-zone/combined-20260827-plus-flame2s-ar0602-radialA/AR0700,area-animation-release-pack,animations/packs-par-zone/combined-20260827-plus-flame2s-ar0602-radialA/AR0700/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR0700/qa-approval.json
animations-pack:AR0800,animations,release-pack-ar0800,1,animations:pack:AR0800,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR0800,area-animation-release-pack,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR0800/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR0800/qa-approval.json
animations-pack:AR0900,animations,release-pack-ar0900,1,animations:pack:AR0900,animations/packs-par-zone/combined-20260827-ar0900-two-manual-masks-v3/AR0900,area-animation-release-pack,animations/packs-par-zone/combined-20260827-ar0900-two-manual-masks-v3/AR0900/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR0900/qa-approval.json
animations-pack:AR0904,animations,release-pack-ar0904,1,animations:pack:AR0904,animations/packs-par-zone/ar0904-taloscircle-ellipsefade-30fps-v2-20260906/AR0904,area-animation-release-pack,animations/packs-par-zone/ar0904-taloscircle-ellipsefade-30fps-v2-20260906/AR0904/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR0904/qa-v2-42606e72ffa1d634.json
animations-pack:AR1100,animations,release-pack-ar1100,1,animations:pack:AR1100,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR1100,area-animation-release-pack,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR1100/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR1100/qa-approval.json
animations-pack:AR1200,animations,release-pack-ar1200,1,animations:pack:AR1200,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR1200,area-animation-release-pack,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR1200/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR1200/qa-approval.json
animations-pack:AR1600,animations,release-pack-ar1600,1,animations:pack:AR1600,animations/packs-par-zone/combined-20260901-chimsmk-oval-dstdvl1a-b-c-activefade7-20-7-candidate/AR1600,area-animation-release-pack,animations/packs-par-zone/combined-20260901-chimsmk-oval-dstdvl1a-b-c-activefade7-20-7-candidate/AR1600/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR1600/qa-approval.json
animations-pack:AR1700,animations,release-pack-ar1700,1,animations:pack:AR1700,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR1700,area-animation-release-pack,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR1700/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR1700/qa-approval.json
animations-pack:AR1800,animations,release-pack-ar1800,1,animations:pack:AR1800,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR1800,area-animation-release-pack,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR1800/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR1800/qa-approval.json
animations-pack:AR2000,animations,release-pack-ar2000,1,animations:pack:AR2000,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR2000,area-animation-release-pack,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR2000/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR2000/qa-approval.json
