asset_key,resref,format,container_version,frame_count,cycle_count,width,height,source_bif,locator,source_size,source_sha256,extracted_path
ui-resource:bam:SPWI906B,SPWI906B,BAM,V1,2,2,,,data/GUIIcon.bif,0x00401764,1251,6C909D46F71104C7197FA65EFBFBC5D131848711DE6BA2E506AFB28173B17603,interface/source/bam/SPWI906B.bam
ui-resource:bam:SPWI906C,SPWI906C,BAM,V1,2,2,,,data/GUIIcon.bif,0x00401765,455,B4593170524B3BCE9727F4DC3A1AA4F9457CA30E1D550E62B2BF2E891C8C83A0,interface/source/bam/SPWI906C.bam
ui-resource:bam:SPWI907B,SPWI907B,BAM,V1,2,2,,,data/GUIIcon.bif,0x00401767,1252,99080B9C4083780C36181A40FB431023590D4B52BD128A4612A07598A3327E6E,interface/source/bam/SPWI907B.bam
ui-resource:bam:SPWI908B,SPWI908B,BAM,V1,2,2,,,data/GUIIcon.bif,0x0040176A,1049,27BF58CB1AD246495AD7D854B27DC43D8D92F6EE99304A64B0553E3AC00CB0D4,interface/source/bam/SPWI908B.bam
ui-resource:bam:SPWI909B,SPWI909B,BAM,V1,2,2,,,data/GUIIcon.bif,0x0040176D,1122,C6D9FB8D12A816BCB75DA9924F733274C0CB597B44A7EA7C73C0603D2E575CB3,interface/source/bam/SPWI909B.bam
ui-resource:bam:SPWI910B,SPWI910B,BAM,V1,2,2,,,data/GUIIcon.bif,0x00401770,1159,8DC6A79B98349EC21CA4D7C49A545A74E000F320DEC4077445B03C9E2DB2205D,interface/source/bam/SPWI910B.bam
ui-resource:bam:SPWI911B,SPWI911B,BAM,V1,2,2,,,data/GUIIcon.bif,0x00401773,1250,3BDFDAE5E25C0B02BAD489E811BBF9CE1CBF7A46D3CE9214B8D389A3649915BB,interface/source/bam/SPWI911B.bam
ui-resource:bam:SPWI912B,SPWI912B,BAM,V1,2,2,,,data/GUIIcon.bif,0x00401776,1275,8696501E7F05EDDE1D5317317AB2951AE3D35BFD4932ECCA58D5CDFE85D9DB62,interface/source/bam/SPWI912B.bam
ui-resource:bam:SPWI913B,SPWI913B,BAM,V1,2,2,,,data/GUIIcon.bif,0x00401779,1339,1CE707E5CE765300B7D59F0FA69FF377548C6F252F9C92D40AC1B5D0F37B9F62,interface/source/bam/SPWI913B.bam
ui-resource:bam:SPWI914B,SPWI914B,BAM,V1,2,2,,,data/GUIIcon.bif,0x0040177C,1363,A1A24D6E97345F094D490B81C4247932B9564DA0095C31756C18400BA9459A91,interface/source/bam/SPWI914B.bam
ui-resource:bam:SPWI915B,SPWI915B,BAM,V1,2,2,,,data/GUIIcon.bif,0x0040177F,1431,DC7B47B40023A94A929C33427827EAD4F9518E1069B49F83687201BC6FCF94FC,interface/source/bam/SPWI915B.bam
ui-resource:bam:SPWI916B,SPWI916B,BAM,V1,2,2,,,data/GUIIcon.bif,0x00401782,1021,E368C2AFAAC5E90DEF99F860247221C74090920AF6CCA8E98A77A747C80E75F3,interface/source/bam/SPWI916B.bam
ui-resource:bam:SPWI917B,SPWI917B,BAM,V1,2,2,,,data/GUIIcon.bif,0x00401785,1252,047BABA233ED7AF45B338B1C1D05CD42B8A7156A875595C8C9F473A3B4C99D7B,interface/source/bam/SPWI917B.bam
ui-resource:bam:STARTBUT,STARTBUT,BAM,V1,6,3,,,data/GUIBam.bif,0x00C0008B,24843,9BC4790902A0557E6D550146E561F73916D030F2FF44F1FEBABA1B7D5FE684AC,interface/source/bam/STARTBUT.bam
ui-resource:bam:STATES,STATES,BAM,V1,179,255,,,data/GUIBam.bif,0x00C0008C,24111,AF12F2965B54E595478D1D38E9D24B6F359675B7348EE69977DEF8B74004E9B1,interface/source/bam/STATES.bam
ui-resource:bam:STATES2,STATES2,BAM,V1,179,255,,,data/GUIBam.bif,0x00C0008D,24111,AF12F2965B54E595478D1D38E9D24B6F359675B7348EE69977DEF8B74004E9B1,interface/source/bam/STATES2.bam
ui-resource:bam:STONAMUL,STONAMUL,BAM,V2,1,1,,,data/GUIIcon.bif,0x00401787,104,42A29AF2191A9B7DBD840B2DA9D2FD7C8FB4BB8DC637E538D4A562DF691C7099,interface/source/bam/STONAMUL.bam
ui-resource:bam:STONARM,STONARM,BAM,V2,1,1,,,data/GUIIcon.bif,0x00401788,104,7DE602545B8FF9C239778EB6080488C2246B3996923415E7E51C7A3760CCB802,interface/source/bam/STONARM.bam
ui-resource:bam:STONBELT,STONBELT,BAM,V2,1,1,,,data/GUIIcon.bif,0x00401789,76,60DF40716746D7BF6CB4E832263A65E95BD97A4EFDA774ECEDC7FAF90CB2C7F1,interface/source/bam/STONBELT.bam
ui-resource:bam:STONBOOT,STONBOOT,BAM,V2,1,1,,,data/GUIIcon.bif,0x0040178A,104,7E16B39F3E64D58D0FF91744C617B7DA5D412D38C3845CC2203615149617EADB,interface/source/bam/STONBOOT.bam
ui-resource:bam:STONCLOK,STONCLOK,BAM,V2,1,1,,,data/GUIIcon.bif,0x0040178B,104,12BD1426513668A4A26CE66BC2D4101787599F4C4A62D786721C504022233AA9,interface/source/bam/STONCLOK.bam
ui-resource:bam:STONFORM,STONFORM,BAM,V1,1,2,,,data/GUIIcon.bif,0x0040178C,339,C164546D418125CC82CD1E8F64DB77CEEDB53AF8E6EFC325F48664834B67BB5F,interface/source/bam/STONFORM.bam
ui-resource:bam:STONGLET,STONGLET,BAM,V2,1,1,,,data/GUIIcon.bif,0x0040178D,104,15914D2A023AF331494ED1B1261F1B666813186BE30F049718FEA619238D4FBD,interface/source/bam/STONGLET.bam
ui-resource:bam:STONHELM,STONHELM,BAM,V2,1,1,,,data/GUIIcon.bif,0x0040178E,76,6EA0675156FE95DD6DF6A3D98D2EDFF3A33F6BFD7C5094791D15DC9787127EEB,interface/source/bam/STONHELM.bam
ui-resource:bam:STONITEM,STONITEM,BAM,V1,1,2,,,data/GUIIcon.bif,0x0040178F,441,C91F78EB9B156924C789BF308867680BD6026CB249ADC5E08C351E161B56CDF3,interface/source/bam/STONITEM.bam
ui-resource:bam:STONQUIV,STONQUIV,BAM,V2,1,1,,,data/GUIIcon.bif,0x00401790,104,900807674C9386299F9168B3908A2FEDA9CEF4234066375B33A637A505051978,interface/source/bam/STONQUIV.bam
