asset_key,relation,dependency_resref,dependency_format,present,source_bif
ui-resource:bam:GUIBTB10,texture-page,MOS0113,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIBTBUT,texture-page,MOS0113,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUICHFAT,texture-page,MOS0115,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUICHMID,texture-page,MOS0117,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUICHSHT,texture-page,MOS0117,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUICHSHT,texture-page,MOS0118,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIDIFF,texture-page,MOS0129,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIDIFFS,texture-page,MOS0129,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIGEND1,texture-page,MOS0134,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIGOLD,texture-page,MOS0134,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIMTAB,texture-page,MOS0152,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIOSGEM,texture-page,MOS0152,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIOSTLL,texture-page,MOS0152,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIOSTLR,texture-page,MOS0152,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIOSTSM,texture-page,MOS0152,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIOSTUM,texture-page,MOS0152,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIOSW,texture-page,MOS0153,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIPNL10,texture-page,MOS0153,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIPNL1D,texture-page,MOS0153,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIPRC,texture-page,MOS0154,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIPRTC,texture-page,MOS0155,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIRSP20,texture-page,MOS0157,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUIRSPOR,texture-page,MOS0157,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUISCRC,texture-page,MOS0157,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUISCRP,texture-page,MOS0157,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUISPBCK,texture-page,MOS0161,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUISTBBC,texture-page,MOS0164,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUISTMPC,texture-page,MOS0166,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUISV10,texture-page,MOS0167,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUISVRB,texture-page,MOS0167,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUMPBUTX,texture-page,MOS0176,PVRZ,yes,data/bgee.bif
ui-resource:bam:GUMPBUTX,texture-page,MOS0177,PVRZ,yes,data/bgee.bif
ui-resource:bam:HIGHLGHT,texture-page,MOS0179,PVRZ,yes,data/bgee.bif
ui-resource:bam:INVBUT,texture-page,MOS0180,PVRZ,yes,data/bgee.bif
ui-resource:bam:LOGOSOA,texture-page,MOS0181,PVRZ,yes,data/bgee.bif
ui-resource:bam:LOGOTBP,texture-page,MOS0181,PVRZ,yes,data/bgee.bif
