asset_key,relation,dependency_resref,dependency_format,present,source_bif
ui-resource:mos:GUIINVHB,texture-page,MOS0138,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIINVHI,texture-page,MOS0138,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIJRNL,texture-page,MOS0279,PVRZ,yes,data/Patch25.bif
ui-resource:mos:GUIJRNL,texture-page,MOS0280,PVRZ,yes,data/Patch25.bif
ui-resource:mos:GUILOAD,texture-page,MOS0139,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUILOAD,texture-page,MOS0140,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUILUPB,texture-page,MOS0145,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUILUPB,texture-page,MOS0146,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIMAPAB,texture-page,MOS0146,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIMAPAB,texture-page,MOS0147,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIMAPWB,texture-page,MOS0147,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIMAPWB,texture-page,MOS0148,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIMGB,texture-page,MOS0148,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIMGCP,texture-page,MOS0148,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIMGCP,texture-page,MOS0149,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIMGX,texture-page,MOS0149,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIMGX,texture-page,MOS0150,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIMOVB,texture-page,MOS0150,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIMOVB,texture-page,MOS0151,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIMPB,texture-page,MOS0151,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIMPB,texture-page,MOS0152,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIOLSP0,texture-page,MOS0152,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIOSTUM,texture-page,MOS0152,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIOSTUM,texture-page,MOS0153,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIPNLC,texture-page,MOS0153,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIPOPAI,texture-page,MOS0153,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIPOPAI,texture-page,MOS0154,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIPRB,texture-page,MOS0154,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIREC2,texture-page,MOS0155,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIREC2,texture-page,MOS0156,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIRECBG,texture-page,MOS0156,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIRECBG,texture-page,MOS0157,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISAVEB,texture-page,MOS0157,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISAVEC,texture-page,MOS0157,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISMBM,texture-page,MOS0157,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISMBM,texture-page,MOS0158,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISMDA,texture-page,MOS0158,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISMDA,texture-page,MOS0159,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISMDB,texture-page,MOS0159,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISMF,texture-page,MOS0159,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISMF,texture-page,MOS0160,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISMF2,texture-page,MOS0160,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISMS,texture-page,MOS0160,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISMS,texture-page,MOS0161,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISPLHB,texture-page,MOS0161,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISPLHB,texture-page,MOS0162,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISPMB,texture-page,MOS0162,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISRRQB,texture-page,MOS0162,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISRRQB,texture-page,MOS0163,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISRSVB,texture-page,MOS0163,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISTATS,texture-page,MOS0163,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISTATS,texture-page,MOS0164,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISTBBB,texture-page,MOS0164,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISTBBM,texture-page,MOS0164,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISTBSC,texture-page,MOS0164,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISTBSC,texture-page,MOS0165,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISTDOB,texture-page,MOS0165,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISTIDB,texture-page,MOS0165,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISTIDB,texture-page,MOS0166,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISTMPE,texture-page,MOS0280,PVRZ,yes,data/Patch25.bif
ui-resource:mos:GUISTROB,texture-page,MOS0166,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUISTROB,texture-page,MOS0167,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUITUT,texture-page,MOS0167,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUITUT,texture-page,MOS0168,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUITUTB,texture-page,MOS0168,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUITUTB,texture-page,MOS0169,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIWBTP1,texture-page,MOS0172,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIWBTP2,texture-page,MOS0172,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIWBTP3,texture-page,MOS0172,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIWBTP3,texture-page,MOS0173,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIWCHT0,texture-page,MOS0173,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIWDMB,texture-page,MOS0174,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIWDMB0,texture-page,MOS0174,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIWDMB0,texture-page,MOS0175,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIWDMB9,texture-page,MOS0175,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIWDMBM,texture-page,MOS0175,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIWDSL0,texture-page,MOS0175,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIWDSL1,texture-page,MOS0175,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIWDSL9,texture-page,MOS0175,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIWDSL9,texture-page,MOS0176,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIWLSP0,texture-page,MOS0176,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIWTPP0,texture-page,MOS0176,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUWBTP10,texture-page,MOS0177,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUWBTP20,texture-page,MOS0177,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUWBTP29,texture-page,MOS0177,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUWBTP30,texture-page,MOS0177,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUWBTP30,texture-page,MOS0178,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUWBTP39,texture-page,MOS0178,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUWBTP3M,texture-page,MOS0178,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUWBTP9M,texture-page,MOS0178,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUWBTP9M,texture-page,MOS0179,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUWDMBM9,texture-page,MOS0179,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUWDSL9,texture-page,MOS0179,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUWPKPC0,texture-page,MOS0179,PVRZ,yes,data/bgee.bif
ui-resource:mos:GWCONTB0,texture-page,MOS0179,PVRZ,yes,data/bgee.bif
ui-resource:mos:INVENTOR,texture-page,MOS0180,PVRZ,yes,data/bgee.bif
ui-resource:mos:INVENTOR,texture-page,MOS0181,PVRZ,yes,data/bgee.bif
ui-resource:mos:INVSTATS,texture-page,MOS0181,PVRZ,yes,data/bgee.bif
ui-resource:mos:NPCCHAP,texture-page,MOS0242,PVRZ,yes,data/bgee.bif
ui-resource:mos:NPCCHAP,texture-page,MOS0243,PVRZ,yes,data/bgee.bif
ui-resource:mos:PAPERSEP,texture-page,MOS0252,PVRZ,yes,data/bgee.bif
ui-resource:mos:PCHAPTER,texture-page,MOS0253,PVRZ,yes,data/bgee.bif
ui-resource:mos:QUESTBAK,texture-page,MOS0253,PVRZ,yes,data/bgee.bif
ui-resource:mos:QUESTBAK,texture-page,MOS0254,PVRZ,yes,data/bgee.bif
ui-resource:mos:RECENTEV,texture-page,MOS0255,PVRZ,yes,data/bgee.bif
ui-resource:mos:RECENTEV,texture-page,MOS0256,PVRZ,yes,data/bgee.bif
ui-resource:mos:SIDEBLOK,texture-page,MOS0256,PVRZ,yes,data/bgee.bif
ui-resource:mos:START2EE,texture-page,MOS0257,PVRZ,yes,data/bgee.bif
ui-resource:mos:START2EE,texture-page,MOS0258,PVRZ,yes,data/bgee.bif
ui-resource:mos:START3EE,texture-page,MOS0258,PVRZ,yes,data/bgee.bif
ui-resource:mos:START3EE,texture-page,MOS0259,PVRZ,yes,data/bgee.bif
ui-resource:mos:STARTBP2,texture-page,MOS0259,PVRZ,yes,data/bgee.bif
ui-resource:mos:STARTBP2,texture-page,MOS0260,PVRZ,yes,data/bgee.bif
ui-resource:mos:STARTM,texture-page,MOS0260,PVRZ,yes,data/bgee.bif
ui-resource:mos:STARTM,texture-page,MOS0261,PVRZ,yes,data/bgee.bif
ui-resource:mos:STARTOLD,texture-page,MOS0262,PVRZ,yes,data/bgee.bif
ui-resource:mos:STARTOLD,texture-page,MOS0263,PVRZ,yes,data/bgee.bif
ui-resource:mos:TOBMAP72,texture-page,MOS0280,PVRZ,yes,data/Patch25.bif
ui-resource:mos:WORLDMAP,texture-page,MOS0267,PVRZ,yes,data/bgee.bif
ui-resource:mos:WORLDMAP,texture-page,MOS0268,PVRZ,yes,data/bgee.bif
