bam_resref,format,frames,max_frame_width,max_frame_height,occurrences,areas,area_ids,external_palette_occurrences,external_palette_resrefs,relative_path,sha256
AM3016I,BAM V1,24,40,109,1,1,AR3016,0,,ressources/AM3016I,b9d7fcc65fad2ddb6314fce31fd577393830ee5e39d80c3389021bf1632b4358
AM3016J,BAM V1,24,40,109,1,1,AR3016,0,,ressources/AM3016J,c0ce452a20233dd3a5c2198adb465eacc686a9a1638278b46bb12c8d1d520c56
AM3016K,BAM V1,24,40,109,1,1,AR3016,0,,ressources/AM3016K,85221317576f638999bcf34bb4b3673c0e2cf457135d5a8e35639eed27fddc64
AM3016L,BAM V1,24,40,109,1,1,AR3016,0,,ressources/AM3016L,dba7583f9f19a58e139bffaf00f214d559d8130167661e635db08127df43c5fc
AM3016N,BAM V1,15,77,143,3,1,AR3016,0,,ressources/AM3016N,ef1c0383422b817002868c7108fc56d2390709ca3db28fa76c1e226486ea6a87
AM3016P,BAM V1,3,80,69,1,1,AR3016,0,,ressources/AM3016P,c9322a747a4fe1fe94bdaa63fa2f638660ace4822d8cbffea822e8b272e646d4
AM3016Q,BAM V1,3,82,60,1,1,AR3016,0,,ressources/AM3016Q,e8ddf5133fdec854e6d9da80c1f204c148565e40063243872effb072d28a572c
AM3016R,BAM V1,3,81,64,1,1,AR3016,0,,ressources/AM3016R,16b6ccc1699d0dbf74dddf7fef782a1c786b8a192075f369cb81fe0e7fe7bd02
AM3016T,BAM V1,3,153,107,1,1,AR3016,0,,ressources/AM3016T,aa0345608eb5cd27000068ab9f9a4bf93338ccca64cdaca0ea46f8553180fae1
AM3017A,BAM V1,8,133,175,1,1,AR3017,0,,ressources/AM3017A,85c75594aa91d867a5717c6cbebf9ef2242e74642eb6e8180cda28843a0540dc
AM3017B,BAM V1,8,120,172,1,1,AR3017,0,,ressources/AM3017B,f2e0c6a34eff215edea203ffe3918b17b89ef2948d4a1884616477d3cc51e5c6
AM3017C,BAM V1,8,167,174,1,1,AR3017,0,,ressources/AM3017C,365c539a8432fbbd8748531b0990738bd26253d37eb5e68d94c08033205f140d
AM3017D,BAM V1,8,135,234,1,1,AR3017,0,,ressources/AM3017D,eb0ffc68781f0e8efe888acbce1762c2b3d025188e500516ca7b7c997231c25f
AM3017E,BAM V1,8,55,37,1,1,AR3017,0,,ressources/AM3017E,44d9cf8917e8e9e5fdf18713cd822ad85c89ce6452eadbda54f6834b23290a96
AM3017F,BAM V1,8,72,53,1,1,AR3017,0,,ressources/AM3017F,3eaa6d6a94aef5c3c9cae9dfd493b3689a16b8f90ce7a7f2fc0ab396c8e5435c
AM3017G,BAM V1,8,50,50,1,1,AR3017,0,,ressources/AM3017G,1d970877e8b66679e0a7013b2011f8294a85b26e99774e5d7437d67a05108c65
AM3017H,BAM V1,8,58,40,1,1,AR3017,0,,ressources/AM3017H,e3710548ddc459315114b20453956ab721e53775c1de5de41cfb988f7e1aa546
AM3017Z,BAM V1,10,164,102,1,1,AR3017,0,,ressources/AM3017Z,65b6216ea471fed3e24c9165b0c558c1a32171c86f37ca4051cec409602cdafc
AM3019A,BAM V1,36,229,205,1,1,AR3019,0,,ressources/AM3019A,eea4dc30082ef0bc561d9284385b45542467b65c8d42228c5ab76b6257df7b53
AM3020D,BAM V1,9,118,246,1,1,AR3020,0,,ressources/AM3020D,863193017d78e21fb09ade8660361c49fb53f375e51cfdbe97d3c73b0e52f86e
AM3021D,BAM V1,10,90,51,1,1,AR3021,0,,ressources/AM3021D,ead1fcfd6769d8b223d1212e0b88744d1f910bfc7035a407c2261fa8191d8caa
AM3021E,BAM V1,10,84,58,1,1,AR3021,0,,ressources/AM3021E,440f16b9c4c303646e33f5c10bf134f09575970da2951a06e6869f4aac9bc441
AM3021F,BAM V1,10,82,54,1,1,AR3021,0,,ressources/AM3021F,e4c09f439e7af0f887d385cb9519eb832b3e329a00cd1457efc4ca18fa5855bf
AM3022D,BAM V1,10,55,35,1,1,AR3022,0,,ressources/AM3022D,af78db436ed4415e496bfc65f24f0a6126e923e1adf9ee11299e2ac9397fa340
AM307RED,BAM V1,7,56,56,2,2,AR0307;AR0329,0,,ressources/AM307RED,108cb54c104943b1786d74fab34512cb6dc4ba3ba3d1e9a1b9a403ab9d13450e
AM307TT1,BAM V1,4,78,81,2,2,AR0307;AR0329,0,,ressources/AM307TT1,bf81a632e0f87768b9d796186dab40e4c107d2c6b2f2da2c87b3d9e11f9b7047
AM307UR1,BAM V1,4,91,69,2,2,AR0307;AR0329,0,,ressources/AM307UR1,c9ad7464737308377867fbaf2230f77c9b24762a00647c24c276cccf7d981a52
AM307UR2,BAM V1,4,207,158,2,2,AR0307;AR0329,0,,ressources/AM307UR2,5ed7f605d00bd91fb749941191221b363c9087cd394afa6f0eb8c37263da5d2c
AM307UR3,BAM V1,4,222,176,2,2,AR0307;AR0329,0,,ressources/AM307UR3,a9dde0a9dca4f0b46b949328fb622fa4fb88eff360feca6f4fff7207a3bd6129
AM4000Z,BAM V1,22,26,67,10,1,AR4000,0,,ressources/AM4000Z,8a75c33f88e9f7470fbec79d7d6086a79629ab46f7abca97257ab19d86eaa1e8
AM411MAC,BAM V1,9,204,193,1,1,AR0411,0,,ressources/AM411MAC,0f587377f77bf02be2ac72f0b912f5a50077b20e817c1854e069253b3f3e4c99
AM414E11,BAM V1,8,150,131,3,1,AR0414,0,,ressources/AM414E11,0b2268d8509b18c7e2e3c037bb4949258dc035a4cf105658a7df8f8cad877495
AM414E12,BAM V1,8,160,135,3,1,AR0414,0,,ressources/AM414E12,2661605e38f423e09b8eab23fbb038c8e7358e7dc8c91f215cfa50f130948568
AM414EY2,BAM V1,8,242,183,3,1,AR0414,0,,ressources/AM414EY2,68413e76fb02213f89b2783f5bc7251d6679c85120ccf8fdc1a2d12773d9f6c0
AM4500A,BAM V1,8,105,144,1,1,AR4500,0,,ressources/AM4500A,7386fb86811aac8cc20a71428f55afef0582f5a72874fe2eb76911816265957f
AM4500B,BAM V1,8,96,134,1,1,AR4500,0,,ressources/AM4500B,cda949883391e089071d6513d8b98e51a91c1255d448d14ec0c33557b8294ea6
AM4500C,BAM V1,8,61,142,1,1,AR4500,0,,ressources/AM4500C,78fbfc7ce9fa0eabf2a35d4f269b3d0ff6d97807558389efb338cc77f628fa02
AM4500D,BAM V1,8,130,142,1,1,AR4500,0,,ressources/AM4500D,261483318a69dfe7c7a21c94db4de3e04c16d60aabcdd5a0ec27c953ae25655a
AM4500E,BAM V1,8,76,145,1,1,AR4500,0,,ressources/AM4500E,1098bfe048eba5ad476b8ad1052e0982e0fe5ecdb17b76b30962180d955aa66c
AM5000A,BAM V1,5,182,148,1,1,AR5000,0,,ressources/AM5000A,c0909b172eae926ce0bfe60e1c108a1de817442d590910831d13ed63829dea54
AM5000B,BAM V1,5,181,147,1,1,AR5000,0,,ressources/AM5000B,fa6bced8efa62e0aed8a334be485d9be2459bbdb4edeeddb2eb10ee8d362b1f7
AM5201A,BAM V1,8,109,166,2,1,AR5201,0,,ressources/AM5201A,357f6b7ed8303152ebf66cc1a2940b4f228516b4f62ceb9cdf7c700b8471c83d
AM5201B,BAM V1,14,106,122,6,1,AR5201,0,,ressources/AM5201B,51d2f1a1cbdc3b2cfc112af6433d57375a10c6042632301e120f125f638f74c6
AM5202B,BAM V1,15,52,109,1,1,AR5202,0,,ressources/AM5202B,50317ee0a724d51b5830903f8f736a344b57822564e43a1b30afe1fc896991f0
AM5204A,BAM V1,15,40,67,1,1,AR5204,0,,ressources/AM5204A,260cea2b9457e4d1fc76de4a064f5be10e3400a0ee7312a8566054369e814316
AM5204C,BAM V1,12,53,37,2,2,AR5204;OH4210,0,,ressources/AM5204C,b3363159b1660e26cd92a66244464e40533072ab0a4d42dfbd93f3a56c1f3c44
AM5204D,BAM V1,20,52,118,14,2,AR5201;AR5204,0,,ressources/AM5204D,d0e843d844e6b6752b156324406ab0c8aa6f20ac0fe10a696224dd1613bcb58e
AM5500A,BAM V1,16,55,155,7,1,AR5500,0,,ressources/AM5500A,47f6fb2654ac4548bc6b002251da7417ad91400f7486f3fd5e62cde73bf2c27e
AM5500D,BAM V1,10,52,78,1,1,AR5500,0,,ressources/AM5500D,8b08d401cd519753b9d10f521caa19ba2b0f2747533f86a9502a15e2cfc4079f
AM5502D,BAM V1,12,23,17,1,1,AR5502,0,,ressources/AM5502D,eeba2e34faf16ce9cdb25c12b90f753aaaf498138990b6b25de39a659521a75d
AM5502F,BAM V1,12,63,59,1,1,AR5502,0,,ressources/AM5502F,7997e36f2ee70eb839edcac0068c4b104b547bec5593ce111d83b2375aafb34a
AM5503A,BAM V1,8,105,76,1,1,AR5503,0,,ressources/AM5503A,4a8f4ceddca1c5edadd0e973c81d545f1566dbd41c1eab1fb1819942e382ca32
AM5503C,BAM V1,8,51,65,2,1,AR5503,0,,ressources/AM5503C,17d4edf3a1ae62e2bc868c5c55616a6a3429bbbf84ff1a51c20086cfc3d72189
AM5503D,BAM V1,8,50,66,1,1,AR5503,0,,ressources/AM5503D,267cfeae96502ee443b0d8e9c2cd4cad7b75db535bca3643191cc639f800aaec
AM5508C,BAM V1,12,20,26,19,5,AR5501;AR5502;AR5506;AR5507;AR5508,0,,ressources/AM5508C,4af1b954808d36a411a8b792d0d042fc9c4711ef73c3c49f5560f9b6b9a890cb
AM5508D,BAM V1,10,95,68,5,5,AR5501;AR5502;AR5506;AR5507;AR5508,0,,ressources/AM5508D,0cf216d64efea7940e35d3794b42f498d18148cebfee29878a6ca09e62d1efef
AM6004A,BAM V1,40,35,110,30,2,AR6001;AR6005,0,,ressources/AM6004A,d139b99202dd198acac5f88b89a69526135ab26c36c70cf0c8216a9f8028b849
AM6004B,BAM V1,32,57,165,19,2,AR6003;AR6004,0,,ressources/AM6004B,897c7a6736ec6e846546c686b25e3d50aa89c18cfa896661d15b590f089e528b
AM6005A,BAM V1,12,116,132,1,1,AR6005,0,,ressources/AM6005A,395639934d543ddf9ba0ebf9ed20c002b89164c973fbee391a6fdf539d63f2af
AM6200A,BAM V1,20,149,179,1,1,AR6200,0,,ressources/AM6200A,dc8357efe59f2187097ae5ef0d90c08e16690210724a02a5dde87a3adf91c8a3
AM6200B,BAM V1,20,149,179,1,1,AR6200,0,,ressources/AM6200B,5fef823c06d50916c86e82d8d56975f1e41d5085462b2c2ff2ad3de1e9736652
AM6200E,BAM V1,5,110,95,1,1,AR6200,0,,ressources/AM6200E,3136b35cb5ab31f160afe4c8316d27f64269a552f2c72fd28e6a013756dd527b
AM6200F,BAM V1,5,94,86,1,1,AR6200,0,,ressources/AM6200F,5ed2bb00e183aa646b70d4aec052722a76e4ffb9279fdf1405824b818c8751c6
AM6200G,BAM V1,5,87,76,1,1,AR6200,0,,ressources/AM6200G,0e8624ab443a65524fd278ef517ca0bc40cd606739ed2b709909ecb82a83d621
AM6200H,BAM V1,9,164,116,1,1,AR6200,0,,ressources/AM6200H,b7f2fcb02001a020a7706c74e97f0152b452bab489221e4a0f86ef41bdfa7809
AM6200I,BAM V1,9,159,107,1,1,AR6200,0,,ressources/AM6200I,f3513ac66ba3ae554a09df2c6472bdecd6bd5f684f3027834d39c55ea6ae8f36
AM6200J,BAM V1,9,158,99,1,1,AR6200,0,,ressources/AM6200J,56c06d3fd1b37052ef5aba244b12e66bb93cfe9261a634e043a3bdbef93b836e
AM904TL1,BAM V1,9,60,60,1,1,AR0904,0,,ressources/AM904TL1,d4821be51b429492ae5c079b9756f0c83f5257dbd98b2b5ac6dfc86fa32ecc4d
AM904TL2,BAM V1,9,60,60,1,1,AR0904,0,,ressources/AM904TL2,db4018abecf2bfdc63421458bd18762a80c7a0b0cdb4addb9525f45a63e6eeb6
AM904TL3,BAM V1,9,70,70,1,1,AR0904,0,,ressources/AM904TL3,c1faad3d34dfe0141737797ed6e75c583c09df8f87a43a6f497541145e693151
AM904TL4,BAM V1,6,102,74,1,1,AR0904,0,,ressources/AM904TL4,91f5ee6bd57096f18d5fc6aa3217b26642e3cfc17c3fa354eac6d5a07370c9f4
AMOH7300,BAM V1,108,19,56,9,1,OH7300,0,,ressources/AMOH7300,869aba18584cad4976fdccffca6c29d0a1efd4f65cf9350bb880681a94083e9f
AMSTEAM1,BAM V1,24,56,64,7,1,AR3017,0,,ressources/AMSTEAM1,5722bbe6196849fdfa219112cbae4be04c5c1f4b7926e12d75f8f3ad512a8fad
AMSTEAM2,BAM V1,24,95,43,7,1,AR3017,0,,ressources/AMSTEAM2,a993971189676ab58c0a11c476c499b552ad6f4e31547211872d256efc18b1d7
AMWRPGT1,BAM V1,12,47,85,50,17,AR3003;AR3004;AR3005;AR3006;AR3007;AR3008;AR3009;AR3010;AR3011;AR3012;AR3013;AR3014;AR3015;AR3016;AR3017;AR3019;AR3020,0,,ressources/AMWRPGT1,8fe621ff8807f155f0cd7ef61497b658c7229798c87780b5c9aaecb9750e3f31
BDFORCEW,BAM V1,160,164,231,2,1,OH8100,0,,ressources/BDFORCEW,b8464128d84c23df31f48afb3c2eeacc7a6c3dfc62f1b2c0df49997516017190
BUBBLEA,BAM V1,20,58,53,3,1,AR2903,0,,ressources/BUBBLEA,892f98f222a49f54f8f53a10fc7a6b2bab9a2baf3c19ff5e8cbe5c5e2bb9081a
BUBBLES2,BAM V1,107,19,56,28,3,AR0411;AR0602;AR0603,0,,ressources/BUBBLES2,a80b50f92940da7d067c27be6f138e3182986c09a706f4b3553d0e07ff1dfddf
BUTRFLY,BAM V1,18,64,64,74,14,AR0309;AR0800;AR1100;AR1200;AR1700;AR1800;AR2000;AR3000;AR5500;AR6400;OH4000;OH6000;OH6100;OH6400,0,,ressources/BUTRFLY,1819a6552862abd0afc07e56ec89f61b64dac1c73882001324ae1f8bd8d2463a
CHIMSMK,BAM V1,12,64,64,68,5,AR0300;AR0400;AR0500;AR1100;AR2000,0,,ressources/CHIMSMK,128f9f81835d485c5864690e97312e93dd4305013454b7135045080aa37c26b5
DSTDVL1A,BAM V1,18,113,78,72,10,AR0411;AR0414;AR1100;AR1200;AR1600;AR1700;AR5200;AR5500;AR6300;OH6400,0,,ressources/DSTDVL1A,e5959c682c42524bb375bbc6295bffd2fc7f8f4a6f0f3868e4dcaf56de82918f
DSTDVL1B,BAM V1,18,113,78,55,10,AR0411;AR0414;AR1100;AR1200;AR1600;AR1700;AR5200;AR5500;AR6300;OH6400,0,,ressources/DSTDVL1B,4ec62f85461a19ff8f374a3c5ebe4956a32aedc05fc5e22f1aa90393f0966122
DSTDVL1C,BAM V1,18,113,78,41,10,AR0411;AR0414;AR1100;AR1200;AR1600;AR1700;AR5200;AR5500;AR6300;OH6400,0,,ressources/DSTDVL1C,046d7cf765adbb5b29d6dc16f2f9b0d11e8c609ac4aeeb5e86fe0481d37c0e73
DSTDVL2B,BAM V1,18,104,114,2,1,AR0411,0,,ressources/DSTDVL2B,1a78ce60c345437b7eb9a9f6c5238d2679ed7fa8f2b112c6eeb8856b7f8f07d2
DSTDVL2C,BAM V1,18,104,114,1,1,AR0411,0,,ressources/DSTDVL2C,6265e9903c7667da3e400d0dabfb74ee5dfb8cb56f30f19ddf09ce3538bb9890
EYESRED1,BAM V1,20,11,7,1,1,AR0329,0,,ressources/EYESRED1,ccb976920dd167d63f99b9f629e6fba1aca14b6c5bce15cce44db364b6fde1d2
FALL1A,BAM V1,6,213,201,1,1,AR2300,0,,ressources/FALL1A,bb989d32f5689d86e36460cdb7e89e7f718f2bad8bc9c93b10d89858d2b6068c
FALL1B,BAM V1,24,155,184,1,1,AR2300,0,,ressources/FALL1B,9f6947cfbe5ebe6ac74b7f0cad5193ce98adee3ee98acc2742cb84844cc40c29
FALL2,BAM V1,6,195,220,1,1,AR2300,0,,ressources/FALL2,c7808a349121a007a84db8805569758c7ebf618430355ab2bb6a4ff12e0a1e32
FALL3,BAM V1,36,141,190,1,1,AR2300,0,,ressources/FALL3,a24892162c44e173fb4ac3855acf2a066550ccec8c2a189683e620175ba79539
FALL4,BAM V1,12,171,190,1,1,AR2300,0,,ressources/FALL4,1bca9578fad247e06b5143dcbaaf8e90c4c448dc4093d37400eff687c2d75c39
FALL5A,BAM V1,12,103,198,1,1,AR2300,0,,ressources/FALL5A,4e478be32428d9c9c954077188cf01285ff9f16650f6ff38e5a455a3143fb7c2
FALL5B,BAM V1,12,87,226,1,1,AR2300,0,,ressources/FALL5B,4f1b69b3346c3d5c33f87921812c39e27e41b61acd56659fac844a8b921e3b57
FALL5C,BAM V1,12,57,195,1,1,AR2300,0,,ressources/FALL5C,4fc7c4a4cb6d412d795a98b92875cfe7a90963f67b425109bccdba11702f63cc
FALL6,BAM V1,18,104,175,1,1,AR2300,0,,ressources/FALL6,5db3d249cfbb8ef3dbdec9168fbc185d71397b9676bc474ff823167778fa99b2
FALLA1,BAM V1,6,90,121,1,1,AR2300,0,,ressources/FALLA1,2b89e66c13282be724b1eda2c30a4530017ca6339dabba59f2f04fdd9e3c9022
FALLA2,BAM V1,6,57,73,1,1,AR2300,0,,ressources/FALLA2,2d24c7435b92c0fa03ba0e6d04f1f74255d18d4d41869ed064c3fe2a5a66f655
FIRE,BAM V1,9,12,57,64,3,OH4000;OH4200;OH7300,0,,ressources/FIRE,16048c4a96bc5581cfbe8feb9a2cb448950707c1e5899fc0237a48662384edcf
FIREBRN,BAM V1,63,15,28,7,1,OH4210,0,,ressources/FIREBRN,4abd918ea23d661d311401f412331147df0c9aeab559d5b84ca4eb05fa6c7393
FIRE_1,BAM V1,15,36,50,24,8,AR0700;AR0802;AR0805;AR0810;AR0811;AR2013;AR3027;AR5000,0,,ressources/FIRE_1,a6e712181bac732c1b04445d690b2b7e9403b2361aa85589fd8603058e45a511
FIRE_2B,BAM V1,15,70,70,7,2,AR3017;OH8100,0,,ressources/FIRE_2B,064aec52002de57ca59c5edbf065ab21118555e3197cb1c60dad881af8e313bb
