bam_resref,format,frames,max_frame_width,max_frame_height,occurrences,areas,area_ids,external_palette_occurrences,external_palette_resrefs,relative_path,sha256
MMELSPIN,BAM V1,20,63,96,1,1,AR6200,0,,ressources/MMELSPIN,48d1a8da69c23ac4c88f9ca00fbdd5d87e306ee05eb1511901280695446c7727
OHDLPORT,BAM V1,26,148,102,7,2,OH5400;OH5500,0,,ressources/OHDLPORT,3f538d8cc83f0dc74579c0de7ba1ba52466b41713b6803052c112bed43abc15d
OHHNECR,BAM V1,11,121,73,14,1,OH7300,0,,ressources/OHHNECR,54cd5e4ba2b635754034570355beb51e17d3e5ce0bba891ca30792e002945fbf
OHHPORT,BAM V1,6,128,128,1,1,AR0811,0,,ressources/OHHPORT,a6ad704c11bc0095568638934b9497644e7156882404f5b94a97dfc15d674b6e
OHRSGATE,BAM V1,30,110,125,2,2,OH4220;OH4230,0,,ressources/OHRSGATE,a716ba165b3d3d345358dd79f36dd2d9cfe86da1a148a01de1c1738a3d1b8734
PORTL1A,BAM V1,6,64,94,1,1,AR0602,0,,ressources/PORTL1A,d82338625dc95baa2013e88ba3cb088f127124ebe809cf17ad72f047076a3f45
PORTL1B,BAM V1,6,79,88,1,1,AR0602,0,,ressources/PORTL1B,9467f6a4d6ce7b03c874c58ad71672e90f3d3da80fdd50a4014eba47996f1b36
PORTL2A,BAM V1,6,79,88,1,1,AR0603,0,,ressources/PORTL2A,30f16dea6da4d4f87fa621484e44555e60579ee7917c11c0bf634cdc7256e2b8
SMOKE,BAM V1,90,128,95,3,3,AR1004;AR1601;AR2012,0,,ressources/SMOKE,c99c287a0b7e5cacff5ac51f2c4d3939bcde1c9a1fd5ecdc26811845b3d46655
SPDIMNDR,BAM V1,164,110,125,1,1,AR6108,0,,ressources/SPDIMNDR,05e2698ffb51628eac197b3c2ecdd10d1cdbac06778341d8da78fad9370643d7
SPHINCT,BAM V1,17,160,120,9,6,AR0516;AR0517;AR0518;AR0519;AR0520;AR0521,0,,ressources/SPHINCT,2e513cc3d1b14127dfc6f65f965264d1733bdb4c8a4d8fe7dc210b95164a9ad9
SPHINCT2,BAM V1,17,160,120,1,1,AR0516,0,,ressources/SPHINCT2,14ae94b6132524dda94108b42ee7f0ab496d0f1f88806fe8dd93002aeff3bed3
STEAM2,BAM V1,9,129,129,2,2,AR0506;AR1003,0,,ressources/STEAM2,f55590d50adb193ade3665a6212fb992ec888f7f852302c611db6a761c461518
WTRBODY1,BAM V1,20,32,32,1,1,AR0502,0,,ressources/WTRBODY1,5e77287127434cfc7e981efe460e66c62d5e7ad439878137a2065326e48146b5
