area,component_id,source_path,include_wed,model
AR6110,5510,maps/AR6110/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
AR6111,5520,maps/AR6111/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
AR6200,5530,maps/AR6200/runs/seedvr2-7b-int8-lab-grid-2x2-x4/05_build,false,SeedVR2-7B-LAB
AR6300,5540,maps/AR6300/runs/seedvr2-7b-int8-none-split-rows-x4/05_build,false,SeedVR2-7B-none
AR6400,5550,maps/AR6400/runs/seedvr2-7b-int8-lab-grid-2x2-x4/05_build,false,SeedVR2-7B-LAB
OH4200,5560,maps/OH4200/runs/seedvr2-7b-int8-lab-grid-2x4-x4-jour/05_build,false,SeedVR2-7B-LAB
OH4200N,5560,maps/OH4200/runs/seedvr2-7b-int8-lab-grid-2x4-x4-nuit/05_build,false,SeedVR2-7B-LAB
OH4210,5570,maps/OH4210/runs/seedvr2-7b-int8-lab-grid-2x2-x4/05_build,false,SeedVR2-7B-LAB
OH4220,5580,maps/OH4220/runs/seedvr2-7b-int8-lab-grid-2x2-x4/05_build,false,SeedVR2-7B-LAB
OH4230,5590,maps/OH4230/runs/seedvr2-7b-int8-lab-grid-2x2-x4/05_build,false,SeedVR2-7B-LAB
OH5110,5600,maps/OH5110/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
OH5120,5610,maps/OH5120/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
OH5200,5620,maps/OH5200/runs/seedvr2-7b-int8-lab-grid-2x2-x4-jour/05_build,false,SeedVR2-7B-LAB
OH5200N,5620,maps/OH5200/runs/seedvr2-7b-int8-lab-grid-2x2-x4-nuit/05_build,false,SeedVR2-7B-LAB
OH5400,5630,maps/OH5400/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
OH5500,5640,maps/OH5500/runs/seedvr2-7b-int8-lab-grid-2x5-x4/05_build,false,SeedVR2-7B-LAB
OH6400,5650,maps/OH6400/runs/seedvr2-7b-int8-lab-direct-x4-jour/05_build,false,SeedVR2-7B-LAB
OH6400N,5650,maps/OH6400/runs/seedvr2-7b-int8-lab-direct-x4-nuit/05_build,false,SeedVR2-7B-LAB
OH6500,5660,maps/OH6500/runs/seedvr2-7b-int8-lab-grid-2x2-x4-jour/05_build,false,SeedVR2-7B-LAB
OH6500N,5660,maps/OH6500/runs/seedvr2-7b-int8-lab-grid-2x2-x4-nuit/05_build,false,SeedVR2-7B-LAB
OH7310,5670,maps/OH7310/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
OH8000,5680,maps/OH8000/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
OH8200,5690,maps/OH8200/runs/seedvr2-7b-int8-lab-grid-2x2-x4-jour/05_build,false,SeedVR2-7B-LAB
OH8200N,5690,maps/OH8200/runs/seedvr2-7b-int8-lab-grid-2x2-x4-nuit/05_build,false,SeedVR2-7B-LAB
OH8300,5700,maps/OH8300/runs/seedvr2-7b-int8-lab-grid-2x2-x4-jour/05_build,false,SeedVR2-7B-LAB
OH8300N,5700,maps/OH8300/runs/seedvr2-7b-int8-lab-grid-2x2-x4-nuit/05_build,false,SeedVR2-7B-LAB
OH8400,5710,maps/OH8400/runs/seedvr2-7b-int8-lab-grid-2x2-x4-jour/05_build,false,SeedVR2-7B-LAB
OH8400N,5710,maps/OH8400/runs/seedvr2-7b-int8-lab-grid-2x2-x4-nuit/05_build,false,SeedVR2-7B-LAB
