asset_key,asset_directory,spatial_run,spatial_state,interpolation_run,interpolation_state,selected_run,qa_state,qa_evidence,installation_state,installation_receipt,release_state,release_candidate,notes
effects:bam:SPBGBFST,effects/ressources/SPBGBFST,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBHANDI,effects/ressources/SPBHANDI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBLBBTM,effects/ressources/SPBLBBTM,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBLBTOP,effects/ressources/SPBLBTOP,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBLESHI,effects/ressources/SPBLESHI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBLOOD,effects/ressources/SPBLOOD,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBOOM,effects/ressources/SPBOOM,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBRNHND,effects/ressources/SPBRNHND,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBURN,effects/ressources/SPBURN,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBURNS1,effects/ressources/SPBURNS1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCAGEMZ,effects/ressources/SPCAGEMZ,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCALLLI,effects/ressources/SPCALLLI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCAUSEW,effects/ressources/SPCAUSEW,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCCMDSI,effects/ressources/SPCCMDSI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCCOLDE,effects/ressources/SPCCOLDE,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCCOLDL,effects/ressources/SPCCOLDL,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCCWOUI,effects/ressources/SPCCWOUI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCHLGT1,effects/ressources/SPCHLGT1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCHLGT2,effects/ressources/SPCHLGT2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCHLGT3,effects/ressources/SPCHLGT3,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCHMPSI,effects/ressources/SPCHMPSI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCHROMI,effects/ressources/SPCHROMI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCHRORB,effects/ressources/SPCHRORB,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCHUNKS,effects/ressources/SPCHUNKS,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCL236,effects/ressources/SPCL236,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCL239,effects/ressources/SPCL239,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCL239R,effects/ressources/SPCL239R,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCL239X,effects/ressources/SPCL239X,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCLKFRI,effects/ressources/SPCLKFRI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCLOUD1,effects/ressources/SPCLOUD1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCLOUD2,effects/ressources/SPCLOUD2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCLOUD3,effects/ressources/SPCLOUD3,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCLOUDK,effects/ressources/SPCLOUDK,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCLOUDS,effects/ressources/SPCLOUDS,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCMWOUI,effects/ressources/SPCMWOUI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCOMEND,effects/ressources/SPCOMEND,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCOMETT,effects/ressources/SPCOMETT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCOMEXP,effects/ressources/SPCOMEXP,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCOMSTT,effects/ressources/SPCOMSTT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCOMTRV,effects/ressources/SPCOMTRV,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCONFUS,effects/ressources/SPCONFUS,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCONTIN,effects/ressources/SPCONTIN,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCRTWPN,effects/ressources/SPCRTWPN,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCSPRA2,effects/ressources/SPCSPRA2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCSPRA3,effects/ressources/SPCSPRA3,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCSPRAI,effects/ressources/SPCSPRAI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPCSWOUI,effects/ressources/SPCSWOUI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPDEATH3,effects/ressources/SPDEATH3,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPDFOGA,effects/ressources/SPDFOGA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPDHRMNY,effects/ressources/SPDHRMNY,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPDIMDR1,effects/ressources/SPDIMDR1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPDIMDR2,effects/ressources/SPDIMDR2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPDIMNDR,effects/ressources/SPDIMNDR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPDISPMA,effects/ressources/SPDISPMA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPDIVINA,effects/ressources/SPDIVINA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPDRGNBR,effects/ressources/SPDRGNBR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPDUSTY2,effects/ressources/SPDUSTY2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPEAR,effects/ressources/SPEAR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPELLTIN,effects/ressources/SPELLTIN,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPENBLD,effects/ressources/SPENBLD,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPENTAAI,effects/ressources/SPENTAAI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPENTACI,effects/ressources/SPENTACI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPENTAXI,effects/ressources/SPENTAXI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPENTAXL,effects/ressources/SPENTAXL,,blocked,,not-applicable,,not-assessed,,not-installed,,not-evaluated,,source BAM stock absent
effects:bam:SPFBSMAL,effects/ressources/SPFBSMAL,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFDEATH,effects/ressources/SPFDEATH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFDETH3,effects/ressources/SPFDETH3,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFEAREF,effects/ressources/SPFEAREF,spfearef-spatial-seedvr2-7b-int8-none-x4-20260907T093000Z,verified,spfearef-interpolation-apollo8-rgb-nearest-alpha-none-20260907T093600Z,verified,spfearef-interpolation-apollo8-rgb-nearest-alpha-none-20260907T093600Z,passed,effects/index/qa-decisions/SPFEAREF/2026-09-07-accepted-horror-ground-merge-v2.json,installed,backups/renderer/20260907T095404025514Z-d01b68d4/renderer-install-receipt.json,approved,effects-v2-spmagmis-spmindat-spfearef-ground-merge-v2-20260907,"SeedVR2 7B INT8 x4; color correction none; Apollo 15->30 FPS; politique alpha ground-merge v2: opacité 82 %, fondu extérieur 32 px x4, cavités internes préservées, RGB prémultiplié; validé ingame; candidat release cumulatif v2 avec SPMAGMIS et SPMINDAT."
effects:bam:SPFINODI,effects/ressources/SPFINODI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFIRE,effects/ressources/SPFIRE,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFIREBL,effects/ressources/SPFIREBL,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFIREPI,effects/ressources/SPFIREPI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFIRESB,effects/ressources/SPFIRESB,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFIRESG,effects/ressources/SPFIRESG,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFIRESR,effects/ressources/SPFIRESR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFIRET,effects/ressources/SPFIRET,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFIRETR,effects/ressources/SPFIRETR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFIRIMP,effects/ressources/SPFIRIMP,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFIRSDI,effects/ressources/SPFIRSDI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFIRSE2,effects/ressources/SPFIRSE2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFIRSED,effects/ressources/SPFIRSED,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFLADOW,effects/ressources/SPFLADOW,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFLAMES,effects/ressources/SPFLAMES,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFLAST1,effects/ressources/SPFLAST1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFLAST2,effects/ressources/SPFLAST2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFLESHS,effects/ressources/SPFLESHS,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFLMARR,effects/ressources/SPFLMARR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFLMBLD,effects/ressources/SPFLMBLD,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFLMSTI,effects/ressources/SPFLMSTI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFLSRIN,effects/ressources/SPFLSRIN,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFLSTRI,effects/ressources/SPFLSTRI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFRACTI,effects/ressources/SPFRACTI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPFSTRMI,effects/ressources/SPFSTRMI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPGENHLA,effects/ressources/SPGENHLA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPGENHLB,effects/ressources/SPGENHLB,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPGFLSH1,effects/ressources/SPGFLSH1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPGLBBLD,effects/ressources/SPGLBBLD,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPGLYPTI,effects/ressources/SPGLYPTI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPGREAAI,effects/ressources/SPGREAAI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPGREACI,effects/ressources/SPGREACI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPGREAXI,effects/ressources/SPGREAXI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPGREORB,effects/ressources/SPGREORB,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPGRWHRL,effects/ressources/SPGRWHRL,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPGSUNSR,effects/ressources/SPGSUNSR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHANDAT,effects/ressources/SPHANDAT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHEALIN,effects/ressources/SPHEALIN,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHEART,effects/ressources/SPHEART,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHLEFT,effects/ressources/SPHLEFT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHLHI01,effects/ressources/SPHLHI01,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHLHI02,effects/ressources/SPHLHI02,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHLYBLS,effects/ressources/SPHLYBLS,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHLYSM2,effects/ressources/SPHLYSM2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHLYSM3,effects/ressources/SPHLYSM3,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHLYSMT,effects/ressources/SPHLYSMT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHOLLYW,effects/ressources/SPHOLLYW,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHOLMIG,effects/ressources/SPHOLMIG,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHOLYMT,effects/ressources/SPHOLYMT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHOLYWD,effects/ressources/SPHOLYWD,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHORPUF,effects/ressources/SPHORPUF,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHORWIA,effects/ressources/SPHORWIA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHORWIL,effects/ressources/SPHORWIL,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPHRIGHT,effects/ressources/SPHRIGHT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPICEIMP,effects/ressources/SPICEIMP,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPICESTM,effects/ressources/SPICESTM,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPILLUS,effects/ressources/SPILLUS,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPILUSIO,effects/ressources/SPILUSIO,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPIMPFR,effects/ressources/SPIMPFR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPIMPPT,effects/ressources/SPIMPPT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPINCINA,effects/ressources/SPINCINA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPINSECT,effects/ressources/SPINSECT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPIPLAAI,effects/ressources/SPIPLAAI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPIPLARI,effects/ressources/SPIPLARI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPIPLAUI,effects/ressources/SPIPLAUI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPLASH,effects/ressources/SPLASH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPLIGHTB,effects/ressources/SPLIGHTB,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPMAGGLO,effects/ressources/SPMAGGLO,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPMAGMIS,effects/ressources/SPMAGMIS,spmagmis-seedvr2-3b-lab-x4-20260907,verified,spmagmis-apollo8-30fps-x4-20260907-r2,verified,spmagmis-apollo8-30fps-x4-20260907-r2,passed,effects/index/qa-decisions/SPMAGMIS/2026-09-07-accepted-spmagmis-final-fx-r8.json,installed,backups/renderer/20260907T085746366036Z-16392a5e/renderer-install-receipt.json,approved,effects-v2-spmagmis-spmindat-20260907,final FXRender only; 64x78 runtime; RGB x4 luminance alpha premultiplied; registry v2 timeline 30 FPS; carried in shared approved effect candidate
effects:bam:SPMELBD1,effects/ressources/SPMELBD1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPMELBD2,effects/ressources/SPMELBD2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPMETSWA,effects/ressources/SPMETSWA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPMETSWM,effects/ressources/SPMETSWM,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPMETSWN,effects/ressources/SPMETSWN,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPMINDAT,effects/ressources/SPMINDAT,spmindat-spatial-seedvr2-3b-lab-x4-20260907T074455Z,verified,spmindat-interpolation-apollo8-rgb-nearest-alpha-20260907T081946Z,verified,spmindat-interpolation-apollo8-rgb-nearest-alpha-20260907T081946Z,passed,effects/index/qa-decisions/SPMINDAT/2026-09-07-accepted-horror-emissive-alpha-v1.json,installed,backups/renderer/20260907T085746366036Z-16392a5e/renderer-install-receipt.json,approved,effects-v2-spmagmis-spmindat-20260907,external emissive alpha policy SPMINDAT-emissive-v1; runtime RGB luminance 48..144; alpha erosion 1 px x4; bounded alpha Gaussian 0.6 px x4; premultiplied; registry v2 timeline 30 FPS; ingame QA accepted; approved shared effect candidate
effects:bam:SPMIRROI,effects/ressources/SPMIRROI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPMONSUM,effects/ressources/SPMONSUM,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPNECRO1,effects/ressources/SPNECRO1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPNPOISI,effects/ressources/SPNPOISI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPNWCHRM,effects/ressources/SPNWCHRM,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPOUTA,effects/ressources/SPOUTA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPPFIRAI,effects/ressources/SPPFIRAI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPPFIRRI,effects/ressources/SPPFIRRI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPPFIRXI,effects/ressources/SPPFIRXI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPPLANAR,effects/ressources/SPPLANAR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPPOLYMP,effects/ressources/SPPOLYMP,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPPORTAL,effects/ressources/SPPORTAL,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPPOWATK,effects/ressources/SPPOWATK,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPPOWWRD,effects/ressources/SPPOWWRD,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPPRAYRI,effects/ressources/SPPRAYRI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPPRISM2,effects/ressources/SPPRISM2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPPRISM3,effects/ressources/SPPRISM3,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPPRISMT,effects/ressources/SPPRISMT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPPROIMG,effects/ressources/SPPROIMG,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPPROTEC,effects/ressources/SPPROTEC,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPRAISED,effects/ressources/SPRAISED,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPRAISEI,effects/ressources/SPRAISEI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPRDRABU,effects/ressources/SPRDRABU,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPRDRAE2,effects/ressources/SPRDRAE2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPRDRAEX,effects/ressources/SPRDRAEX,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPRDRAIM,effects/ressources/SPRDRAIM,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPRDRASI,effects/ressources/SPRDRASI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPRESIST,effects/ressources/SPRESIST,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPRESURI,effects/ressources/SPRESURI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPRING,effects/ressources/SPRING,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPRMPARI,effects/ressources/SPRMPARI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPROTECT,effects/ressources/SPROTECT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPRWRA2I,effects/ressources/SPRWRA2I,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPRWRATI,effects/ressources/SPRWRATI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSARMOR,effects/ressources/SPSARMOR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSCHGI,effects/ressources/SPSCHGI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSCORCH,effects/ressources/SPSCORCH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSCORIC,effects/ressources/SPSCORIC,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSDBUR,effects/ressources/SPSDBUR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSDIMPA,effects/ressources/SPSDIMPA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSDIMSP,effects/ressources/SPSDIMSP,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSDRABU,effects/ressources/SPSDRABU,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSDRAE2,effects/ressources/SPSDRAE2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSDRBUR,effects/ressources/SPSDRBUR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSETSCD,effects/ressources/SPSETSCD,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSETSH,effects/ressources/SPSETSH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSETTID,effects/ressources/SPSETTID,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSETTIH,effects/ressources/SPSETTIH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSHADOW,effects/ressources/SPSHADOW,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSHIELD,effects/ressources/SPSHIELD,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSHKIMP,effects/ressources/SPSHKIMP,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSKULLT,effects/ressources/SPSKULLT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSMKJET,effects/ressources/SPSMKJET,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSMOLD,effects/ressources/SPSMOLD,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSMPUFF,effects/ressources/SPSMPUFF,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSNRAYI,effects/ressources/SPSNRAYI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSOHOPI,effects/ressources/SPSOHOPI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSOLBRD,effects/ressources/SPSOLBRD,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSPAINI,effects/ressources/SPSPAINI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSPARKS,effects/ressources/SPSPARKS,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSPEART,effects/ressources/SPSPEART,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSPEV,effects/ressources/SPSPEV,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSPMAZE,effects/ressources/SPSPMAZE,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSTINK,effects/ressources/SPSTINK,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSTONES,effects/ressources/SPSTONES,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPSTRENH,effects/ressources/SPSTRENH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
