asset_key,asset_directory,spatial_run,spatial_state,interpolation_run,interpolation_state,selected_run,qa_state,qa_evidence,installation_state,installation_receipt,release_state,release_candidate,notes
effects:bam:BDSPCLAR,effects/ressources/BDSPCLAR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:BDSPLOCK,effects/ressources/BDSPLOCK,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:BDSPWARD,effects/ressources/BDSPWARD,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:BDWOFOGA,effects/ressources/BDWOFOGA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:BGLRYH,effects/ressources/BGLRYH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:BGLRYT,effects/ressources/BGLRYT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:BLOODCR,effects/ressources/BLOODCR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:BLOODL,effects/ressources/BLOODL,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:BLOODM,effects/ressources/BLOODM,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:BLOODS,effects/ressources/BLOODS,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:BOLT,effects/ressources/BOLT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:BUBBLES1,effects/ressources/BUBBLES1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:BUBLES,effects/ressources/BUBLES,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:BURNHAND,effects/ressources/BURNHAND,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:CGABJURA,effects/ressources/CGABJURA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:CGALTERA,effects/ressources/CGALTERA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:CGCONJUR,effects/ressources/CGCONJUR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:CGDIVINA,effects/ressources/CGDIVINA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:CGENCHAN,effects/ressources/CGENCHAN,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:CGILLUSI,effects/ressources/CGILLUSI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
