asset_key,resref,format,dependency_count,source_bif,locator,source_size,source_sha256,extracted_path
effect:vvc:SPELEMND,SPELEMND,VVC,1,data/Effects.bif,0x00300176,492,A716011807A0F55A2F44518F8461DBA86AAD59666EE2AA895446D79FC34F40AC,effects/source/vvc/SPELEMND.vvc
effect:vvc:SPENTANG,SPENTANG,VVC,1,data/Effects.bif,0x00300177,492,F63C3D2345D7495B738DCD3E09D75CEB9AAB1F68BAA625F56BFCF0573C534A9A,effects/source/vvc/SPENTANG.vvc
effect:vvc:SPFDAWN,SPFDAWN,VVC,1,data/Effects.bif,0x00300178,492,6B461EE9E29BE10F6CA2AB49594860351797FA52800A266C29221BE08895652E,effects/source/vvc/SPFDAWN.vvc
effect:vvc:SPFEARE2,SPFEARE2,VVC,1,data/Effects.bif,0x00300179,492,02E3F02FEB8AADC0CA71645F60E8EBB3A651BAB9B93254FE4179A445FFF54827,effects/source/vvc/SPFEARE2.vvc
effect:vvc:SPFEAREF,SPFEAREF,VVC,1,data/Effects.bif,0x0030017A,492,27E989B655F2A36FCA6BE7BEC8471036D1B6E7D4E0DA0FEB2C6B14A60F333751,effects/source/vvc/SPFEAREF.vvc
effect:vvc:SPFINGER,SPFINGER,VVC,1,data/Effects.bif,0x0030017C,492,C4A6C163626953BA7BBA9F1915AEF4AA34AB5070C856EBAD43A56D2D59B41D69,effects/source/vvc/SPFINGER.vvc
effect:vvc:SPFIREPI,SPFIREPI,VVC,1,data/Effects.bif,0x00300183,492,903734425C6EA17A971E1D02FF21A6995E45AA887D9D7355A29211202C8CC4F0,effects/source/vvc/SPFIREPI.vvc
effect:vvc:SPFIRESA,SPFIRESA,VVC,1,data/Effects.bif,0x00300184,492,1F251D125F0B5C0C1FD8B2527E2515D0F464261F015D77F4FD5345FC981CE164,effects/source/vvc/SPFIRESA.vvc
effect:vvc:SPFIRESB,SPFIRESB,VVC,1,data/Effects.bif,0x00300185,492,B9E4440EABDF21BAF87987F2DF7AFB94BA94724EC3FF432DE120CA498449F9F4,effects/source/vvc/SPFIRESB.vvc
effect:vvc:SPFIRESG,SPFIRESG,VVC,1,data/PATCH26.BIF,0x08600060,492,700C787AF7BB98DA8B4F094616D54B70B46A0CA685ECEDE41D850D94D3654A67,effects/source/vvc/SPFIRESG.vvc
effect:vvc:SPFIRESH,SPFIRESH,VVC,1,data/PATCH26.BIF,0x08600061,492,D4D0DA0664CB06ECF4053B1E457D6E654CB0D954715DFA7682AEED2C981ECE48,effects/source/vvc/SPFIRESH.vvc
effect:vvc:SPFIRESR,SPFIRESR,VVC,1,data/Effects.bif,0x00300186,492,202B4C1C6276FA39F8040E970AC6D4D244E6165FCCA036DC5E293A3D16E53A26,effects/source/vvc/SPFIRESR.vvc
effect:vvc:SPFIREST,SPFIREST,VVC,1,data/Effects.bif,0x00300187,492,64EDF8AF310B6FD2EA80CEDE5245EA1A8D74C06E78BB54C75C00E95CAFCE5FD9,effects/source/vvc/SPFIREST.vvc
effect:vvc:SPFIRSD2,SPFIRSD2,VVC,1,data/Effects.bif,0x00300188,492,FB074C6EEDBC9FD8EC070DE46F612D10DF994C30D29AF3C3DF28565C69901089,effects/source/vvc/SPFIRSD2.vvc
effect:vvc:SPFLAMES,SPFLAMES,VVC,1,data/Effects.bif,0x00300189,492,2D5E7931CBD837DDA17F3663A04B90F89F7D1F3A07BF0070EA4607C3F675DABC,effects/source/vvc/SPFLAMES.vvc
effect:vvc:SPFLASNC,SPFLASNC,VVC,1,data/Effects.bif,0x0030018A,492,AE7D468E9772CF7D0C2EC3C9EDDC855B7DBB4CC060EFFBC32233294C9E30A526,effects/source/vvc/SPFLASNC.vvc
effect:vvc:SPFLAST2,SPFLAST2,VVC,1,data/Effects.bif,0x0030018B,492,B1D574360EBC00628821FB9268A28CF40052E651A4BD136D0C104E3F9423B1B9,effects/source/vvc/SPFLAST2.vvc
effect:vvc:SPFLAYER,SPFLAYER,VVC,1,data/Effects.bif,0x0030018C,492,8293E11A99B87AD3D6F46EEA8DF17D4AB119AEA45C3152834F7E746A0E7E58EF,effects/source/vvc/SPFLAYER.vvc
effect:vvc:SPFLBLAD,SPFLBLAD,VVC,1,data/Effects.bif,0x0030018D,492,577F0A70D64D1F9D541566F931F418D55D6C6D062F5D48358EC3AF1330EDE86F,effects/source/vvc/SPFLBLAD.vvc
effect:vvc:SPFLESH2,SPFLESH2,VVC,1,data/Effects.bif,0x0030018E,492,B0F9F0E8C2E116F2A58C1DACCADDE2853AB94C5C5ABB087B3C416BA6E5DF57B0,effects/source/vvc/SPFLESH2.vvc
effect:vvc:SPFLESHS,SPFLESHS,VVC,1,data/Effects.bif,0x0030018F,492,7FA99112B0B26323BF2DCAE1F1EAB14B282328B46DBE0C009C356F0F072B5276,effects/source/vvc/SPFLESHS.vvc
effect:vvc:SPFLMBLD,SPFLMBLD,VVC,1,data/Effects.bif,0x00300190,492,4B0EA5B8A210763EA15192F45353698365051148BC2376D84D5D2032E69F3C31,effects/source/vvc/SPFLMBLD.vvc
effect:vvc:SPFLSRIN,SPFLSRIN,VVC,1,data/Effects.bif,0x00300191,492,4795754BC4094AC94E50BBCD0CE97DA41CF74DC08F2405ED823950FA1F5367D0,effects/source/vvc/SPFLSRIN.vvc
effect:vvc:SPFRIEND,SPFRIEND,VVC,1,data/PATCH26.BIF,0x08600063,492,367FFB8F7F3E8A0806A0A0E6C486AEE694636C52B4E3235C5968C79A2D7764FC,effects/source/vvc/SPFRIEND.vvc
effect:vvc:SPGFLSH1,SPGFLSH1,VVC,1,data/Effects.bif,0x00300194,492,C99BCC9C754A4F9E1EB15E49A8DAC808A1D54AEA0148B7646C33B89E48A3DFBB,effects/source/vvc/SPGFLSH1.vvc
effect:vvc:SPGLBBLD,SPGLBBLD,VVC,1,data/25Effect.bif,0x08C00044,492,2F5B3782131E346869ADF2BFBF7A6B46E51B6497BF896E72FEB8BE0005CED116,effects/source/vvc/SPGLBBLD.vvc
effect:vvc:SPGREORB,SPGREORB,VVC,1,data/Effects.bif,0x00300195,492,BD44E75AD2ADB6687AA716A9168C1002628A3751F478374116683ABFDFADB461,effects/source/vvc/SPGREORB.vvc
effect:vvc:SPGRWHRL,SPGRWHRL,VVC,1,data/25Effect.bif,0x08C00045,492,2361C46046796C3227273A67C1D7D39A99B9D73E03C38C68CA82B13EBB94E53F,effects/source/vvc/SPGRWHRL.vvc
effect:vvc:SPGSUNSR,SPGSUNSR,VVC,1,data/Effects.bif,0x00300196,492,1AB04BBC3B8FCC76E727976C0C853B9BCC5E734A66108C295ACC568227EC82DF,effects/source/vvc/SPGSUNSR.vvc
effect:vvc:SPGSUNST,SPGSUNST,VVC,1,data/Effects.bif,0x00300197,492,32551CA4CD52F75010BEA1B6238A7A2375BB6BF6F935688B596D5A595F95F7DC,effects/source/vvc/SPGSUNST.vvc
effect:vvc:SPH1HI01,SPH1HI01,VVC,1,data/Effects.bif,0x00300198,492,9BC5234F554607187D5F6BB68CD5DF924DD11C8CF9207235D7001863D756521D,effects/source/vvc/SPH1HI01.vvc
effect:vvc:SPHANDA2,SPHANDA2,VVC,1,data/Effects.bif,0x0030019A,492,D32C75D8FF1415C538FA2854539EF88AB98F4F904ED821B8AAE5B0AAE5B41A24,effects/source/vvc/SPHANDA2.vvc
effect:vvc:SPHANDAT,SPHANDAT,VVC,1,data/Effects.bif,0x0030019B,492,D9D00A3D3377056783ADE10622A4A42B33D0C958B3D150988E927F57777C2B2D,effects/source/vvc/SPHANDAT.vvc
effect:vvc:SPHEALIN,SPHEALIN,VVC,1,data/Effects.bif,0x0030019C,492,CCC34D7DCD2F06C1FE548CF4B0AD54223B7B3093C99CDA2B342D109AF4B38177,effects/source/vvc/SPHEALIN.vvc
effect:vvc:SPHEART,SPHEART,VVC,1,data/25Effect.bif,0x08C00046,492,BB61E478EC12906375A4EA78A4A5C99A533395C8E837C73D001D9C2FFBBBF4BA,effects/source/vvc/SPHEART.vvc
effect:vvc:SPHLHI02,SPHLHI02,VVC,1,data/Effects.bif,0x0030019D,492,FE50EB1D4DDE4955298C62C95228136F254C11C150E09CC263DAEF129719CCD8,effects/source/vvc/SPHLHI02.vvc
effect:vvc:SPHLYBLS,SPHLYBLS,VVC,1,data/Effects.bif,0x0030019E,492,21BC726F75B4B2B4BE625AFF65704AC4257D15C02890682C4A5633E2404D5680,effects/source/vvc/SPHLYBLS.vvc
effect:vvc:SPHOLY,SPHOLY,VVC,1,data/Effects.bif,0x0030019F,492,516C1B3CA074D6EE9594F9D27DCABC337C6C32C931DD18F58DC61B6E1B0D1BA8,effects/source/vvc/SPHOLY.vvc
effect:vvc:SPHOLYMT,SPHOLYMT,VVC,1,data/Effects.bif,0x003001A0,492,D38B66EBB5A66D731D43D600EB8320850A3682F2BC7CC7ED9A74C58591420346,effects/source/vvc/SPHOLYMT.vvc
effect:vvc:SPILLUS,SPILLUS,VVC,1,data/Effects.bif,0x003001A5,492,FB1173D9984644104FFC1714ABD07A7BB87F9A8A51B43E42C60A3376301813E7,effects/source/vvc/SPILLUS.vvc
effect:vvc:SPIMPFR,SPIMPFR,VVC,1,data/25Effect.bif,0x08C00047,492,1605B3C540DD899E6A534B2AD6F48F4E961C22907A5116AD0686A74CE06D23C0,effects/source/vvc/SPIMPFR.vvc
effect:vvc:SPMAGGLO,SPMAGGLO,VVC,1,data/Effects.bif,0x003001AE,492,22F0CD361584133FC4A11DEC6A76B5C56A6BE900FF5D2A3B704B0B222794EBAB,effects/source/vvc/SPMAGGLO.vvc
effect:vvc:SPMAZE1,SPMAZE1,VVC,1,data/Effects.bif,0x003001AF,492,FA402C14E840A27BDC3B475AC0E0729CD350AE4A930CD777AF79940802EC0B1D,effects/source/vvc/SPMAZE1.vvc
effect:vvc:SPMAZE2,SPMAZE2,VVC,1,data/Effects.bif,0x003001B0,492,5C0670BB54E9EF16A430907347826294C32323EA4F5509252C6C90320CBF06B9,effects/source/vvc/SPMAZE2.vvc
effect:vvc:SPMELBD1,SPMELBD1,VVC,1,data/25Effect.bif,0x08C0004A,492,003C05891B3AEFEF56B8D0F407A08B8ADDBBD6C13E4F471FDBF78093DCFDA182,effects/source/vvc/SPMELBD1.vvc
effect:vvc:SPMELBD2,SPMELBD2,VVC,1,data/25Effect.bif,0x08C0004B,492,863D4B60E210F64A9498D93ED080BC451C1EFCD4AB83FF1F812CFEAF9195071F,effects/source/vvc/SPMELBD2.vvc
effect:vvc:SPMETSW2,SPMETSW2,VVC,1,data/Effects.bif,0x003001B1,492,B2520B4FC5D3499357310ED785D710DDAA4A6FAFD9D2D4E5D594907FC63CE9CB,effects/source/vvc/SPMETSW2.vvc
effect:vvc:SPMETSW3,SPMETSW3,VVC,1,data/25Effect.bif,0x08C0004C,492,3478A70AB1E10697DB87248CD1B7A2D4F001A8EB6ABB277580386B40480A4D6B,effects/source/vvc/SPMETSW3.vvc
effect:vvc:SPMETSWA,SPMETSWA,VVC,1,data/Effects.bif,0x003001B2,492,82F9EEB49432E241C496E5E707A86277C7BC3A4D0DBD3012B2303BA36444F707,effects/source/vvc/SPMETSWA.vvc
effect:vvc:SPMINDAT,SPMINDAT,VVC,1,data/Effects.bif,0x003001B3,492,4142B0FA7F17C9981369797EF59DC652A66AACF7E0130C4811BA4EF231FABA87,effects/source/vvc/SPMINDAT.vvc
effect:vvc:SPMONSUM,SPMONSUM,VVC,1,data/Effects.bif,0x003001BA,492,44AE427F8C23E3BD3A2BCA948AB8B0E58F443E9786FE0627BF6B266CC6C3E7CD,effects/source/vvc/SPMONSUM.vvc
effect:vvc:SPNECRO1,SPNECRO1,VVC,1,data/Effects.bif,0x003001BC,492,398F0E24A96906F3D4A7FA8C0184F421C70A045A55570A478B97BF1DD390411C,effects/source/vvc/SPNECRO1.vvc
effect:vvc:SPNWCHRM,SPNWCHRM,VVC,1,data/Effects.bif,0x003001BE,492,367FFB8F7F3E8A0806A0A0E6C486AEE694636C52B4E3235C5968C79A2D7764FC,effects/source/vvc/SPNWCHRM.vvc
effect:vvc:SPPLANAR,SPPLANAR,VVC,1,data/Effects.bif,0x003001C0,492,74109AE53587E6484C69C9B98974CB3E0317A5C253E5FE44C43F81CC956CCB95,effects/source/vvc/SPPLANAR.vvc
effect:vvc:SPPOLYMP,SPPOLYMP,VVC,1,data/Effects.bif,0x003001C2,492,7820066781FD3016844BF6A0B1DEAD65B7A26892B8202096DAC94115BF50B698,effects/source/vvc/SPPOLYMP.vvc
effect:vvc:SPPORTAL,SPPORTAL,VVC,1,data/Effects.bif,0x003001C3,492,C32675844C863A8CCB52FAB0472247559A5F52700A3C13D782AD8AB436474F8A,effects/source/vvc/SPPORTAL.vvc
effect:vvc:SPPOWATK,SPPOWATK,VVC,1,data/25Effect.bif,0x08C0004F,492,A8A0B90969973F286E999F32FF95E2F4C8621ACBF5C6DF05AABDD45F353F20AB,effects/source/vvc/SPPOWATK.vvc
effect:vvc:SPPOWRRD,SPPOWRRD,VVC,1,data/Effects.bif,0x003001C4,492,2A2FBDA7B0A927575C800B649DE0AA8AA85FFE6F2C58E18C8FF52DE6A7DF75DD,effects/source/vvc/SPPOWRRD.vvc
effect:vvc:SPPOWWRD,SPPOWWRD,VVC,1,data/Effects.bif,0x003001C5,492,713E0F4CC7FFBEDDB84446D306C1713E3BD4AC7234382612E4B12919E3C0F26A,effects/source/vvc/SPPOWWRD.vvc
effect:vvc:SPPROIMG,SPPROIMG,VVC,1,data/Effects.bif,0x003001C7,492,AE178787DDE5F63C829B10A1DE0FDC0C277E9C1C180CED0BB4A5D838693D3B66,effects/source/vvc/SPPROIMG.vvc
