bam_resref,source_sha256,canonical_sha256,source_bif,locator,source_file,canonical_file,source_manifest,extraction_state
WQLWHOA9,E1069F669DC785AD927CE3B422A48348D3498EDE980584A9C4FEC75D4B17D09B,56BB4B8A9265AE79DD27A21BADC9DEDA89F18AA78B98390ABF06C1DB3EAAB4D5,data/OBJAnim.bif,0x002005BD,sprite/ressources/WQLWHOA9/sources/e1069f669dc785ad927ce3b422a48348d3498ede980584a9c4fec75d4b17d09b/source.bamc,sprite/ressources/WQLWHOA9/sources/e1069f669dc785ad927ce3b422a48348d3498ede980584a9c4fec75d4b17d09b/source.bam,sprite/ressources/WQLWHOA9/sources/e1069f669dc785ad927ce3b422a48348d3498ede980584a9c4fec75d4b17d09b/source.json,verified
WQLWHOG1,5CAB58724E5E827E74D408B00135EA896E4CF1F9AD1EA68D1DA9038594DBE109,CDB5318894F7F80C7D847BDCF2CAACC6426B9344E96953752EC1C38055DF6A13,data/OBJAnim.bif,0x002005BE,sprite/ressources/WQLWHOG1/sources/5cab58724e5e827e74d408b00135ea896e4cf1f9ad1ea68d1da9038594dbe109/source.bamc,sprite/ressources/WQLWHOG1/sources/5cab58724e5e827e74d408b00135ea896e4cf1f9ad1ea68d1da9038594dbe109/source.bam,sprite/ressources/WQLWHOG1/sources/5cab58724e5e827e74d408b00135ea896e4cf1f9ad1ea68d1da9038594dbe109/source.json,verified
WQLZWA1,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,data/PaperDol.bif,0x06200A3F,sprite/ressources/WQLZWA1/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA1/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA1/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.json,verified
WQLZWA2,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,data/PaperDol.bif,0x06200A40,sprite/ressources/WQLZWA2/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA2/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA2/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.json,verified
WQLZWA3,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,data/PaperDol.bif,0x06200A41,sprite/ressources/WQLZWA3/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA3/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA3/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.json,verified
WQLZWA4,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,data/PaperDol.bif,0x06200A42,sprite/ressources/WQLZWA4/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA4/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA4/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.json,verified
WQLZWA5,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,data/PaperDol.bif,0x06200A43,sprite/ressources/WQLZWA5/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA5/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA5/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.json,verified
WQLZWA6,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,data/PaperDol.bif,0x06200A44,sprite/ressources/WQLZWA6/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA6/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA6/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.json,verified
WQLZWA7,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,data/PaperDol.bif,0x06200A45,sprite/ressources/WQLZWA7/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA7/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA7/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.json,verified
WQLZWA8,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,data/PaperDol.bif,0x06200A46,sprite/ressources/WQLZWA8/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA8/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA8/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.json,verified
WQLZWA9,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,data/PaperDol.bif,0x06200A47,sprite/ressources/WQLZWA9/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA9/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.bam,sprite/ressources/WQLZWA9/sources/5ba2c8fecfe21a73cb65c19629f441ed0fc47159e0bb1cd0f47cad1888b94051/source.json,verified
WQLZWCA,48D88FC466E2A5D95DAD9B256E0C9A1466BBA7FF5F017C578CBA5B553DDEAAFC,C8B48C34E0407FCDDA96B2D67217BE9745380253EBC9ABC3973F6B908E82296C,data/PaperDol.bif,0x06200A48,sprite/ressources/WQLZWCA/sources/48d88fc466e2a5d95dad9b256e0c9a1466bba7ff5f017c578cba5b553ddeaafc/source.bamc,sprite/ressources/WQLZWCA/sources/48d88fc466e2a5d95dad9b256e0c9a1466bba7ff5f017c578cba5b553ddeaafc/source.bam,sprite/ressources/WQLZWCA/sources/48d88fc466e2a5d95dad9b256e0c9a1466bba7ff5f017c578cba5b553ddeaafc/source.json,verified
WQLZWG1,A21BF2ACE556F384F93DBAB7191B1B520670812462AE71BF33EDD1762AE75F7F,23BF8C200F1AB690179887FAE3F3720BD0AD4C0447961084043B9D9E50F243D2,data/PaperDol.bif,0x06200A49,sprite/ressources/WQLZWG1/sources/a21bf2ace556f384f93dbab7191b1b520670812462ae71bf33edd1762ae75f7f/source.bamc,sprite/ressources/WQLZWG1/sources/a21bf2ace556f384f93dbab7191b1b520670812462ae71bf33edd1762ae75f7f/source.bam,sprite/ressources/WQLZWG1/sources/a21bf2ace556f384f93dbab7191b1b520670812462ae71bf33edd1762ae75f7f/source.json,verified
WQLZWSA,CD92B0239782CC86C64A9416AFC2904380B6E15E6CA63581199D2194BCA27EE4,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,data/PaperDol.bif,0x06200A4A,sprite/ressources/WQLZWSA/sources/cd92b0239782cc86c64a9416afc2904380b6e15e6ca63581199d2194bca27ee4/source.bamc,sprite/ressources/WQLZWSA/sources/cd92b0239782cc86c64a9416afc2904380b6e15e6ca63581199d2194bca27ee4/source.bam,sprite/ressources/WQLZWSA/sources/cd92b0239782cc86c64a9416afc2904380b6e15e6ca63581199d2194bca27ee4/source.json,verified
