asset_key,domain,asset_type,resref,bam_container,bam_version,frame_count,cycle_count,source_bif,locator,source_size,source_sha256,extracted_path
supplemental:sprites:object-animation-bam:WPMH3A5,sprites,object-animation-bam,WPMH3A5,BAMC,V1,30,8,data/OBJAnim.bif,0x00200203,3356,886F4D0299E7F3BCED4ECF7FC5372366D3B6738E9FDB39315A05467FC43A8183,graphics/source/sprites/WPMH3A5.bam
supplemental:sprites:object-animation-bam:WPMH3A5E,sprites,object-animation-bam,WPMH3A5E,BAMC,V1,18,8,data/OBJAnim.bif,0x00200204,2416,A9618BE8C94994574669DC78C3567AF80899730EC19C844E843A701B29C7D059,graphics/source/sprites/WPMH3A5E.bam
supplemental:sprites:object-animation-bam:WPMH3A6,sprites,object-animation-bam,WPMH3A6,BAMC,V1,40,8,data/OBJAnim.bif,0x00200205,4219,96ACEB2B1EE703E18E3108B3EA4D294E24234DD1DB645DDDBCD50D0C7FAA2FFD,graphics/source/sprites/WPMH3A6.bam
supplemental:sprites:object-animation-bam:WPMH3A6E,sprites,object-animation-bam,WPMH3A6E,BAMC,V1,24,8,data/OBJAnim.bif,0x00200206,2957,DEE94CF01673673189705175BF64FE64E5A5C35DCE614EB6D256BA13579BB590,graphics/source/sprites/WPMH3A6E.bam
supplemental:sprites:object-animation-bam:WPMH3CA,sprites,object-animation-bam,WPMH3CA,BAMC,V1,50,62,data/OBJAnim.bif,0x00200207,5520,829D3044FD4071EBA7BBD26D52252ABAADD5A297F406DB264428FD498260FE67,graphics/source/sprites/WPMH3CA.bam
supplemental:sprites:object-animation-bam:WPMH3CAE,sprites,object-animation-bam,WPMH3CAE,BAMC,V1,30,64,data/OBJAnim.bif,0x00200208,3738,6B80C23F7E2C4269CD9C012EC5238F007A4BFCBAD0D783F63266A785C0545433,graphics/source/sprites/WPMH3CAE.bam
supplemental:sprites:object-animation-bam:WPMH3G1,sprites,object-animation-bam,WPMH3G1,BAMC,V1,180,72,data/OBJAnim.bif,0x00200209,14979,9CC6BF06696001425849AB1F31E00BAD6CC6A7D890BB45A2571A17AECB6324A9,graphics/source/sprites/WPMH3G1.bam
supplemental:sprites:object-animation-bam:WPMH3G1E,sprites,object-animation-bam,WPMH3G1E,BAMC,V1,108,72,data/OBJAnim.bif,0x0020020A,9810,37553F049828BD11849C98902EC7F65E3F0BDDECD0DD51CD3E4FF02D7FDE2126,graphics/source/sprites/WPMH3G1E.bam
supplemental:sprites:paperdoll-animation-bam:WPMH3INV,sprites,paperdoll-animation-bam,WPMH3INV,BAM,V1,2,1,data/PaperDol.bif,0x062003D3,1711,976C2CA28AF7C120645E65156E956525F320AC502323B769B84DEFFC0DA4FB2A,graphics/source/sprites/WPMH3INV.bam
supplemental:sprites:object-animation-bam:WPMH3SA,sprites,object-animation-bam,WPMH3SA,BAMC,V1,20,8,data/OBJAnim.bif,0x0020020B,2597,2CE66E7194BA5359B5A8F11CA2FA266BBA61A8C70611965E47F38C0F3B767BE2,graphics/source/sprites/WPMH3SA.bam
