asset_key,relation,dependency_resref,dependency_format,present,source_bif,locator,source_size,source_sha256,extracted_path
icon:CCLCK24,texture-page,MOS0038,PVRZ,yes,data/bgee.bif,0x0B000072,77824,A4DCB2A781468A18E6834F37A961CB04DB4003C3E66EA93AFC1F91E8D6D3BF19,icons/dependencies/pvrz/MOS0038.pvrz
icon:CCLCK25,texture-page,MOS0038,PVRZ,yes,data/bgee.bif,0x0B000072,77824,A4DCB2A781468A18E6834F37A961CB04DB4003C3E66EA93AFC1F91E8D6D3BF19,icons/dependencies/pvrz/MOS0038.pvrz
icon:CCLCK25,texture-page,MOS0039,PVRZ,yes,data/bgee.bif,0x0B000073,76030,753B55309E6BF28AEED849143C5DCA85C9E45AF14E6C207EAD9EF373B9C107E5,icons/dependencies/pvrz/MOS0039.pvrz
icon:CCLCK26,texture-page,MOS0039,PVRZ,yes,data/bgee.bif,0x0B000073,76030,753B55309E6BF28AEED849143C5DCA85C9E45AF14E6C207EAD9EF373B9C107E5,icons/dependencies/pvrz/MOS0039.pvrz
icon:CCLCK27,texture-page,MOS0039,PVRZ,yes,data/bgee.bif,0x0B000073,76030,753B55309E6BF28AEED849143C5DCA85C9E45AF14E6C207EAD9EF373B9C107E5,icons/dependencies/pvrz/MOS0039.pvrz
icon:CCLCK28,texture-page,MOS0039,PVRZ,yes,data/bgee.bif,0x0B000073,76030,753B55309E6BF28AEED849143C5DCA85C9E45AF14E6C207EAD9EF373B9C107E5,icons/dependencies/pvrz/MOS0039.pvrz
icon:CCLCK29,texture-page,MOS0039,PVRZ,yes,data/bgee.bif,0x0B000073,76030,753B55309E6BF28AEED849143C5DCA85C9E45AF14E6C207EAD9EF373B9C107E5,icons/dependencies/pvrz/MOS0039.pvrz
icon:CDAGG01,texture-page,MOS0039,PVRZ,yes,data/bgee.bif,0x0B000073,76030,753B55309E6BF28AEED849143C5DCA85C9E45AF14E6C207EAD9EF373B9C107E5,icons/dependencies/pvrz/MOS0039.pvrz
icon:CDAGG02,texture-page,MOS0039,PVRZ,yes,data/bgee.bif,0x0B000073,76030,753B55309E6BF28AEED849143C5DCA85C9E45AF14E6C207EAD9EF373B9C107E5,icons/dependencies/pvrz/MOS0039.pvrz
icon:CDAGG03,texture-page,MOS0039,PVRZ,yes,data/bgee.bif,0x0B000073,76030,753B55309E6BF28AEED849143C5DCA85C9E45AF14E6C207EAD9EF373B9C107E5,icons/dependencies/pvrz/MOS0039.pvrz
