asset_key,relation,dependency_resref,dependency_format,present,source_bif,locator,source_size,source_sha256,extracted_path
icon:CKEY06,texture-page,MOS0047,PVRZ,yes,data/bgee.bif,0x0B00007B,63499,93F512F98643E2255C5AFE41E9F8BFBAA080B0272E23E15AD3B99575B5B62188,icons/dependencies/pvrz/MOS0047.pvrz
icon:CKEY07,texture-page,MOS0048,PVRZ,yes,data/bgee.bif,0x0B00007C,47486,01734ECB8B97A7C8E1528E309E0F965B2ABE81FAB9C54201586F75774725B31F,icons/dependencies/pvrz/MOS0048.pvrz
icon:CKEY08,texture-page,MOS0048,PVRZ,yes,data/bgee.bif,0x0B00007C,47486,01734ECB8B97A7C8E1528E309E0F965B2ABE81FAB9C54201586F75774725B31F,icons/dependencies/pvrz/MOS0048.pvrz
icon:CKEY09,texture-page,MOS0048,PVRZ,yes,data/bgee.bif,0x0B00007C,47486,01734ECB8B97A7C8E1528E309E0F965B2ABE81FAB9C54201586F75774725B31F,icons/dependencies/pvrz/MOS0048.pvrz
icon:CKEY10,texture-page,MOS0048,PVRZ,yes,data/bgee.bif,0x0B00007C,47486,01734ECB8B97A7C8E1528E309E0F965B2ABE81FAB9C54201586F75774725B31F,icons/dependencies/pvrz/MOS0048.pvrz
icon:CKEY11,texture-page,MOS0048,PVRZ,yes,data/bgee.bif,0x0B00007C,47486,01734ECB8B97A7C8E1528E309E0F965B2ABE81FAB9C54201586F75774725B31F,icons/dependencies/pvrz/MOS0048.pvrz
icon:CKEY12,texture-page,MOS0048,PVRZ,yes,data/bgee.bif,0x0B00007C,47486,01734ECB8B97A7C8E1528E309E0F965B2ABE81FAB9C54201586F75774725B31F,icons/dependencies/pvrz/MOS0048.pvrz
icon:CKEY13,texture-page,MOS0048,PVRZ,yes,data/bgee.bif,0x0B00007C,47486,01734ECB8B97A7C8E1528E309E0F965B2ABE81FAB9C54201586F75774725B31F,icons/dependencies/pvrz/MOS0048.pvrz
icon:CKEY14,texture-page,MOS0048,PVRZ,yes,data/bgee.bif,0x0B00007C,47486,01734ECB8B97A7C8E1528E309E0F965B2ABE81FAB9C54201586F75774725B31F,icons/dependencies/pvrz/MOS0048.pvrz
icon:CKEY15,texture-page,MOS0048,PVRZ,yes,data/bgee.bif,0x0B00007C,47486,01734ECB8B97A7C8E1528E309E0F965B2ABE81FAB9C54201586F75774725B31F,icons/dependencies/pvrz/MOS0048.pvrz
icon:CKEY16,texture-page,MOS0048,PVRZ,yes,data/bgee.bif,0x0B00007C,47486,01734ECB8B97A7C8E1528E309E0F965B2ABE81FAB9C54201586F75774725B31F,icons/dependencies/pvrz/MOS0048.pvrz
icon:CKEY17,texture-page,MOS0048,PVRZ,yes,data/bgee.bif,0x0B00007C,47486,01734ECB8B97A7C8E1528E309E0F965B2ABE81FAB9C54201586F75774725B31F,icons/dependencies/pvrz/MOS0048.pvrz
icon:CKEY18,texture-page,MOS0048,PVRZ,yes,data/bgee.bif,0x0B00007C,47486,01734ECB8B97A7C8E1528E309E0F965B2ABE81FAB9C54201586F75774725B31F,icons/dependencies/pvrz/MOS0048.pvrz
icon:CKEY18,texture-page,MOS0049,PVRZ,yes,data/bgee.bif,0x0B00007D,74059,1730FF47366623610823A8D8185FCA3F57DF36EAFAFBC3362712D3EA4599BD12,icons/dependencies/pvrz/MOS0049.pvrz
icon:CKEY19,texture-page,MOS0049,PVRZ,yes,data/bgee.bif,0x0B00007D,74059,1730FF47366623610823A8D8185FCA3F57DF36EAFAFBC3362712D3EA4599BD12,icons/dependencies/pvrz/MOS0049.pvrz
icon:CKEY20,texture-page,MOS0049,PVRZ,yes,data/bgee.bif,0x0B00007D,74059,1730FF47366623610823A8D8185FCA3F57DF36EAFAFBC3362712D3EA4599BD12,icons/dependencies/pvrz/MOS0049.pvrz
