asset_key,asset_id,asset_directory,upscale_run,upscale_state,selected_run,qa_state,qa_evidence,installation_state,installation_receipt,release_state,release_candidate,notes
icon:1SHLDM02,icons:icon-1shldm02,icons/ressources/1SHLDM02,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1SWH00,icons:icon-1swh00,icons/ressources/1SWH00,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:C6LANTHO,icons:icon-c6lantho,icons/ressources/C6LANTHO,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAMUL01,icons:icon-camul01,icons/ressources/CAMUL01,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAMUL02,icons:icon-camul02,icons/ressources/CAMUL02,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAMUL10,icons:icon-camul10,icons/ressources/CAMUL10,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAMUL14,icons:icon-camul14,icons/ressources/CAMUL14,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAMUL15,icons:icon-camul15,icons/ressources/CAMUL15,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAMUL16,icons:icon-camul16,icons/ressources/CAMUL16,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAMUL17,icons:icon-camul17,icons/ressources/CAMUL17,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAMUL19,icons:icon-camul19,icons/ressources/CAMUL19,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAMUL20,icons:icon-camul20,icons/ressources/CAMUL20,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAMUL21,icons:icon-camul21,icons/ressources/CAMUL21,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAMUL22,icons:icon-camul22,icons/ressources/CAMUL22,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAMUL23,icons:icon-camul23,icons/ressources/CAMUL23,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAMUL24,icons:icon-camul24,icons/ressources/CAMUL24,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAMUL25,icons:icon-camul25,icons/ressources/CAMUL25,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAROW01,icons:icon-carow01,icons/ressources/CAROW01,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAROW02,icons:icon-carow02,icons/ressources/CAROW02,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAROW03,icons:icon-carow03,icons/ressources/CAROW03,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAROW04,icons:icon-carow04,icons/ressources/CAROW04,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAROW05,icons:icon-carow05,icons/ressources/CAROW05,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAROW06,icons:icon-carow06,icons/ressources/CAROW06,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAROW07,icons:icon-carow07,icons/ressources/CAROW07,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAROW08,icons:icon-carow08,icons/ressources/CAROW08,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAROW09,icons:icon-carow09,icons/ressources/CAROW09,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAROW10,icons:icon-carow10,icons/ressources/CAROW10,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAROW11,icons:icon-carow11,icons/ressources/CAROW11,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAX1H01,icons:icon-cax1h01,icons/ressources/CAX1H01,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAX1H04,icons:icon-cax1h04,icons/ressources/CAX1H04,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAX1H05,icons:icon-cax1h05,icons/ressources/CAX1H05,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAX1H08,icons:icon-cax1h08,icons/ressources/CAX1H08,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAX1H09,icons:icon-cax1h09,icons/ressources/CAX1H09,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAX1H10,icons:icon-cax1h10,icons/ressources/CAX1H10,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAX1H11,icons:icon-cax1h11,icons/ressources/CAX1H11,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAX1H12,icons:icon-cax1h12,icons/ressources/CAX1H12,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CAX1H13,icons:icon-cax1h13,icons/ressources/CAX1H13,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBAG02,icons:icon-cbag02,icons/ressources/CBAG02,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBAG03,icons:icon-cbag03,icons/ressources/CBAG03,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBAG04,icons:icon-cbag04,icons/ressources/CBAG04,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBDAMU02,icons:icon-cbdamu02,icons/ressources/CBDAMU02,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBDBLN16,icons:icon-cbdbln16,icons/ressources/CBDBLN16,,not-started,,not-assessed,,not-installed,,not-evaluated,,
